Year,GDP per capita in U.S. dollars
2025*,39113.24
2024*,37405.25
2023*,35682.61
2022*,34011.76
2021*,32305.25
2020*,30644.43
2019*,31846.22
2018,33422.94
2017,31616.84
2016,29286.64
2015,28732.23
2014,29249.58
2013,25890.02
2012,24358.78
2011,24079.79
2010,22086.95
2009,18291.92
2008,20430.64
2007,23060.71
2006,20888.38
2005,18639.52
2004,15907.68
2003,14209.34
2002,12782.54
2001,11252.87
2000,11947.6
1999,10409.36
1998,8085.34
1997,12131.89
1996,13137.85
1995,12332.93
1994,10205.86
1993,8740.94
1992,8001.53
1991,7523.44
1990,6516.27
1989,5736.94
1988,4686.15
1987,3511.0
1986,2803.36
1985,2457.33
