city,Price in euros
"Milan, Italy",90.26
"Oslo, Norway",76.84
"Munich, Germany",72.0
"Geneva, Switzerland",70.56
"Nice, France",64.35
"London, UK",64.22
"Stuttgart, Germany",63.2
"Zurich, Switzerland",62.25
"Marseille, France",55.17
"Birmingham, UK",48.2
"Stockholm, Sweden",48.01
"Rome, Italy",48.0
"Manchester, UK",47.55
"Helsinki, Finland",47.22
"Brussels, Belgium",45.94
"Lyon, France",45.38
"Amsterdam, Netherlands",41.0
"Vienna, Austria",40.39
"Paris, France",39.02
"Barcelona, Spain",39.0
"Edinburgh, UK",30.5
"Glasgow, UK",24.72
