Year,Number of new confirmed cases
30.09.2020,17
29.09.2020,20
28.09.2020,5
27.09.2020,24
26.09.2020,17
25.09.2020,18
24.09.2020,17
23.09.2020,22
22.09.2020,33
21.09.2020,16
20.09.2020,19
19.09.2020,24
18.09.2020,51
17.09.2020,35
16.09.2020,53
15.09.2020,49
14.09.2020,39
13.09.2020,50
12.09.2020,46
11.09.2020,56
10.09.2020,59
09.09.2020,93
08.09.2020,66
07.09.2020,48
06.09.2020,76
05.09.2020,83
04.09.2020,89
03.09.2020,127
02.09.2020,109
01.09.2020,85
31.08.2020,84
30.08.2020,125
29.08.2020,112
28.08.2020,131
27.08.2020,124
26.08.2020,156
25.08.2020,151
24.08.2020,121
23.08.2020,216
22.08.2020,200
21.08.2020,180
20.08.2020,246
19.08.2020,228
18.08.2020,226
17.08.2020,290
16.08.2020,285
15.08.2020,313
14.08.2020,385
13.08.2020,292
12.08.2020,428
11.08.2020,354
10.08.2020,337
09.08.2020,404
08.08.2020,475
07.08.2020,464
06.08.2020,484
05.08.2020,738
04.08.2020,452
03.08.2020,444
02.08.2020,687
01.08.2020,417
31.07.2020,652
30.07.2020,746
29.07.2020,319
28.07.2020,400
27.07.2020,549
26.07.2020,475
25.07.2020,372
24.07.2020,309
23.07.2020,423
22.07.2020,503
21.07.2020,388
20.07.2020,296
19.07.2020,381
18.07.2020,233
17.07.2020,438
16.07.2020,330
15.07.2020,259
14.07.2020,284
13.07.2020,192
12.07.2020,279
11.07.2020,227
10.07.2020,307
09.07.2020,182
08.07.2020,147
07.07.2020,199
06.07.2020,140
05.07.2020,94
04.07.2020,114
03.07.2020,66
02.07.2020,86
01.07.2020,85
30.06.2020,71
29.06.2020,85
28.06.2020,53
27.06.2020,47
26.06.2020,37
25.06.2020,37
24.06.2020,30
23.06.2020,20
22.06.2020,18
21.06.2020,25
20.06.2020,26
19.06.2020,20
18.06.2020,21
17.06.2020,23
16.06.2020,12
15.06.2020,15
14.06.2020,18
13.06.2020,13
12.06.2020,9
11.06.2020,9
10.06.2020,7
09.06.2020,2
08.06.2020,5
07.06.2020,5
06.06.2020,2
05.06.2020,11
04.06.2020,10
03.06.2020,8
02.06.2020,17
01.06.2020,8
31.05.2020,12
30.05.2020,11
29.05.2020,17
28.05.2020,18
27.05.2020,11
26.05.2020,15
25.05.2020,9
24.05.2020,4
23.05.2020,14
22.05.2020,14
21.05.2020,5
20.05.2020,12
19.05.2020,6
18.05.2020,11
17.05.2020,8
16.05.2020,15
15.05.2020,32
14.05.2020,14
13.05.2020,13
12.05.2020,18
11.05.2020,6
10.05.2020,14
09.05.2020,15
08.05.2020,18
07.05.2020,20
06.05.2020,25
05.05.2020,25
04.05.2020,27
03.05.2020,15
02.05.2020,15
01.05.2020,15
30.04.2020,11
29.04.2020,15
28.04.2020,8
27.04.2020,8
26.04.2020,17
25.04.2020,20
24.04.2020,18
23.04.2020,8
22.04.2020,12
21.04.2020,18
20.04.2020,13
19.04.2020,42
18.04.2020,41
17.04.2020,47
16.04.2020,33
15.04.2020,35
14.04.2020,45
13.04.2020,44
12.04.2020,33
11.04.2020,87
10.04.2020,105
09.04.2020,84
08.04.2020,105
07.04.2020,119
06.04.2020,107
05.04.2020,141
04.04.2020,188
03.04.2020,226
02.04.2020,274
01.04.2020,302
31.03.2020,310
30.03.2020,265
29.03.2020,344
28.03.2020,460
27.03.2020,370
26.03.2020,376
25.03.2020,382
24.03.2020,370
23.03.2020,328
22.03.2020,282
21.03.2020,194
20.03.2020,168
19.03.2020,145
18.03.2020,109
17.03.2020,79
16.03.2020,80
15.03.2020,50
14.03.2020,48
13.03.2020,37
12.03.2020,34
11.03.2020,15
10.03.2020,20
09.03.2020,12
08.03.2020,8
07.03.2020,9
06.03.2020,4
05.03.2020,8
04.03.2020,11
03.03.2020,8
02.03.2020,5
01.03.2020,7
