Month,Number of persons tested daily
Mar 6,305
Mar 7,87
Mar 8,104
Mar 9,94
Mar 10,-42
Mar 11,165
Mar 12,140
Mar 13,153
Mar 14,185
Mar 15,245
Mar 16,159
Mar 17,318
Mar 18,225
Mar 19,302
Mar 20,267
Mar 21,540
Mar 22,242
Mar 23,451
Mar 24,476
Mar 25,185
Mar 26,972
Mar 27,838
Mar 28,720
Mar 29,401
Mar 30,688
Mar 31,887
Apr 1,1181
Apr 2,1454
Apr 3,1889
Apr 4,1524
Apr 5,1036
Apr 6,1448
Apr 7,2042
Apr 8,1690
Apr 9,2301
Apr 10,2174
Apr 11,1580
Apr 12,1427
Apr 13,1199
Apr 14,1439
Apr 15,2967
Apr 16,3351
Apr 17,3144
Apr 18,3323
Apr 19,2458
Apr 20,2694
Apr 21,3221
Apr 22,4772
Apr 23,3840
Apr 24,4828
Apr 25,4839
Apr 26,3171
Apr 27,1767
Apr 28,5472
Apr 29,4584
Apr 30,5150
May 1,3698
May 2,1450
May 3,1584
May 4,2060
May 5,4742
May 6,5161
May 7,4694
May 8,3910
May 9,1488
May 10,786
May 11,2063
May 12,4326
May 13,4876
May 14,3992
May 15,4084
May 16,2476
May 17,971
May 18,2041
May 19,3371
May 20,2933
May 21,2751
May 22,2236
May 23,1649
May 24,645
May 25,1464
May 26,2839
May 27,2352
May 28,1848
May 29,3433
May 30,1606
May 31,274
Jun 1,6418
Jun 2,2336
Jun 3,2135
Jun 4,1832
Jun 5,2639
Jun 6,1180
Jun 7,160
Jun 8,851
Jun 9,1545
Jun 10,1500
Jun 11,1262
Jun 12,1511
Jun 13,479
Jun 14,47
Jun 15,847
Jun 16,1163
Jun 17,787
Jun 18,806
Jun 19,1278
Jun 20,301
Jun 21,41
Jun 22,661
Jun 23,1257
Jun 24,936
Jun 25,1515
Jun 28,62
Jun 29,784
Jun 30,2063
Jul 2,1801
Jul 5,50
Jul 9,2172
Jul 12,279
Jul 19,24
Jul 24,2275
Jul 25,767
Jul 26,216
Aug 1,585
Aug 2,766
Aug 5,2667
Aug 6,2473
Aug 7,3099
Aug 8,1068
Aug 9,564
Aug 11,3131
Aug 12,2741
Aug 13,2738
Aug 22,3356
Aug 28,4453
Aug 29,1951
Aug 30,588
Sep 4,5947
Sep 5,2462
Sep 6,922
Sep 10,4266
Sep 15,3235
Sep 20,1952
Sep 25,6483
Sep 30,9170
Oct 1,7824
Oct 5,3750
Oct 10,8959
Oct 11,3998
Oct 16,11904
Oct 17,10858
Oct 18,5025
Oct 19,5946
Oct 29,16556
Oct 30,18074
Oct 31,21949
Nov 01,21477
Nov 02,18994
Nov 03,13377
Nov 04,12864
Nov 05,11615
Nov 06,15767
Nov 07,15466
Nov 08,4956
Nov 09,6813
Nov 10,12891
Nov 11,12584
Nov 13,10742
Nov 15,1771
Nov 16,7837
Nov 17,5833
Nov 18,7913
Nov 19,9836
