university,Shanghai Ranking Score
Harvard University,100.0
Stanford University,74.2
University of Cambridge,70.6
Massachusetts Institute of Technology (MIT),69.6
"University of California, Berkeley",65.8
Princeton University,61.1
Columbia University,58.6
California Institute of Technology,57.7
University of Oxford,57.2
University of Chicago,54.6
Yale University,53.5
Cornell University,50.4
"University of California, Los Angeles",50.3
Paris-Saclay University,49.6
Johns Hopkins University,48.3
University of Washington,46.6
University College London,46.6
"University of California, San Diego",46.3
University of Pennsylvania,46.2
ETH Zurich,46.1
"University of California, San Francisco",42.8
University of Michigan-Ann Arbor,41.0
University of Toronto,40.9
Washington University in St. Louis,40.9
Imperial College London,40.3
The University of Tokyo,40.1
Duke University,39.2
New York University,39.2
Tsinghua University,38.1
Northwestern University,37.6
University of North Carolina at Chapel Hill,37.6
University of Wisconsin - Madison,37.4
University of Copenhagen,36.9
Kyoto University,36.3
The University of Melbourne,36.0
The University of Manchester,35.5
Paris Sciences et Lettres University,35.5
University of British Columbia,35.4
Sorbonne University,35.3
"University of Minnesota, Twin Cities",35.0
The University of Texas at Austin,34.9
The University of Edinburgh,34.7
Rockefeller University,34.4
University of Colorado at Boulder,34.2
Karolinska Institute,33.9
University of Illinois at Urbana-Champaign,33.9
King's College London,33.6
The University of Texas Southwestern Medical Center at Dallas,33.0
"University of California, Santa Barbara",32.4
Peking University,32.4
