Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",10.52
Government and government enterprises,5.09
"Educational services, health care, and social assistance",5.05
"Agriculture, forestry, fishing, and hunting",5.0
Manufacturing,4.52
Retail trade,3.47
Wholesale trade,3.16
Professional and business services,3.1
"Arts, entertainment, recreation, accommodation, and food services",1.67
Construction,1.61
Information,1.57
Transportation and warehousing,1.03
Utilities,0.79
"Mining, quarrying, and oil and gas extraction",0.15
