Month,Sales in billion U.S. dollars
Sep '20,13.45
Aug '20,12.46
Jul '20,12.29
Jun '20,11.98
May '20,12.16
Apr '20,11.78
Mar '20,11.52
Feb '20,11.55
Jan '20,12.2
Dec '19,12.81
Nov '19,13.0
Oct '19,13.0
Sep '19,12.63
Aug '19,12.11
Jul '19,11.88
Jun '19,11.73
May '19,11.88
Apr '19,11.28
Mar '19,11.03
Feb '19,10.71
Jan '19,11.62
Dec '18,12.71
Nov '18,13.82
Oct '18,14.51
Sep '18,14.53
Aug '18,14.3
Jul '18,13.8
Jun '18,13.59
May '18,13.16
Apr '18,12.38
Mar '18,11.99
Feb '18,11.71
Jan '18,12.01
Dec '17,12.01
Nov '17,11.9
Oct '17,11.65
Sep '17,11.36
Aug '17,11.08
Jul '17,10.68
Jun '17,10.4
May '17,10.25
Apr '17,10.12
Mar '17,10.06
Feb '17,10.05
Jan '17,10.16
Dec '16,10.17
Nov '16,10.04
Oct '16,9.78
Sep '16,9.47
Aug '16,8.99
Jul '16,8.61
Jun '16,8.29
May '16,8.09
Apr '16,7.8
Mar '16,7.95
Feb '16,8.04
Jan '16,8.42
Dec '15,8.45
Nov '15,8.67
Oct '15,8.58
Sep '15,8.45
Aug '15,8.23
Jul '15,8.18
Jun '15,8.13
May '15,8.08
Apr '15,7.77
Mar '15,7.83
