Month,Vacancy rate
Aug '20,4.8%
Jul '20,4.9%
Jun '20,4.7%
May '20,4.4%
Apr '20,4.3%
Mar '20,4.2%
Feb '20,4.5%
Jan '20,4.2%
Dec '19,4.4%
Nov '19,4%
Oct '19,4%
Sep '19,4%
Aug '19,3.8%
Jul '19,4%
Jun '19,4.1%
May '19,4%
Apr '19,4%
Mar '19,4%
Feb '19,4%
Jan '19,3.9%
Dec '18,3.9%
Nov '18,4%
Oct '18,4.2%
Sep '18,4.2%
Aug '18,3.9%
Jul '18,3.9%
Jun '18,3.7%
May '18,3.7%
Apr '18,3.8%
Mar '18,3.9%
Feb '18,4%
Jan '18,3.8%
Dec '17,3.9%
Nov '17,3.7%
Oct '17,3.8%
Sep '17,3.9%
Aug '17,4%
Jul '17,4.1%
Jun '17,4.1%
May '17,4%
Apr '17,4%
Mar '17,3.8%
Feb '17,3.8%
Jan '17,3.8%
