Year,IPC in Mexican pesos
10/15/2020,38059.23
10/14/2020,38025.72
10/13/2020,38131.78
10/12/2020,38342.09
10/9/2020,38478.58
10/8/2020,38404.05
10/7/2020,37418.79
10/6/2020,36947.87
10/5/2020,36740.33
10/2/2020,36642.38
10/1/2020,36626.11
9/30/2020,37458.69
9/29/2020,37134.92
9/28/2020,37231.5
9/25/2020,36583.71
9/24/2020,36217.49
9/23/2020,35829.58
9/22/2020,35853.58
9/21/2020,35517.77
9/18/2020,36017.35
9/17/2020,36130.92
9/15/2020,36729.15
9/14/2020,36881.99
9/11/2020,36334.89
9/10/2020,36180.74
9/9/2020,36157.96
9/8/2020,36071.43
9/7/2020,36637.45
9/4/2020,36448.5
9/3/2020,36429.66
9/2/2020,37053.77
9/1/2020,37487.99
8/31/2020,36840.73
8/28/2020,37794.25
8/27/2020,37647.19
8/26/2020,37753.04
8/25/2020,38249.9
8/24/2020,38029.62
8/21/2020,38095.88
8/20/2020,38707.24
8/19/2020,39021.92
8/18/2020,39087.35
8/17/2020,39285.85
8/14/2020,38949.88
8/13/2020,38615.62
8/12/2020,38634.1
8/11/2020,38703.59
8/10/2020,38289.76
8/7/2020,38005.0
8/6/2020,37998.34
8/5/2020,37901.96
8/4/2020,37466.95
8/3/2020,37546.72
7/31/2020,37019.68
7/30/2020,37136.78
7/29/2020,37720.84
7/28/2020,37771.21
7/27/2020,37742.14
7/24/2020,37357.46
7/23/2020,37433.3
7/22/2020,37447.1
7/21/2020,36881.67
7/20/2020,36323.69
7/17/2020,36327.84
7/16/2020,36465.67
7/15/2020,36590.26
7/14/2020,36190.91
7/13/2020,36389.39
7/10/2020,36465.46
7/9/2020,36795.95
7/8/2020,37483.88
7/7/2020,37837.39
7/6/2020,37884.76
7/3/2020,37950.0
7/2/2020,37894.08
7/1/2020,37619.77
6/30/2020,37716.43
6/29/2020,37769.19
6/26/2020,37431.95
6/25/2020,37734.52
6/24/2020,37908.38
6/23/2020,38217.68
6/22/2020,38123.56
6/19/2020,38404.63
6/18/2020,37632.89
6/17/2020,37897.24
6/16/2020,37894.05
6/15/2020,37416.74
6/12/2020,37679.24
6/11/2020,36827.36
6/10/2020,38266.19
6/9/2020,39185.66
6/8/2020,39954.01
6/5/2020,38948.08
6/4/2020,37872.89
6/3/2020,38290.77
6/2/2020,37460.44
6/1/2020,36980.85
5/29/2020,36122.73
5/28/2020,36508.14
5/27/2020,36889.96
5/26/2020,36206.86
5/25/2020,35832.77
5/22/2020,35784.42
5/21/2020,35560.76
5/20/2020,36026.98
5/19/2020,35862.04
5/18/2020,37112.46
5/15/2020,35691.39
5/14/2020,36094.14
5/13/2020,36394.59
5/12/2020,37462.89
5/11/2020,37631.89
5/8/2020,37623.68
5/7/2020,36792.41
5/6/2020,36986.2
5/5/2020,36616.06
5/4/2020,36370.43
4/30/2020,36470.11
4/29/2020,36870.09
4/28/2020,35830.81
4/27/2020,34968.09
4/24/2020,34586.82
4/23/2020,34240.6
4/22/2020,34223.85
4/21/2020,33892.28
4/20/2020,34477.06
4/17/2020,34743.1
4/16/2020,33759.75
4/15/2020,33855.24
4/14/2020,34746.39
4/13/2020,34613.67
4/8/2020,34567.78
4/7/2020,34526.31
4/6/2020,34381.56
4/3/2020,33075.41
4/2/2020,33590.62
4/1/2020,33691.88
3/31/2020,34554.53
3/30/2020,34199.97
3/27/2020,33799.49
3/26/2020,35706.57
3/25/2020,35536.7
3/24/2020,34371.53
3/23/2020,32964.22
3/20/2020,34269.51
3/19/2020,35143.63
3/18/2020,35532.74
3/17/2020,36862.84
3/13/2020,38085.05
3/12/2020,36636.7
3/11/2020,38678.55
3/10/2020,39565.44
3/9/2020,38730.56
3/6/2020,41388.78
3/5/2020,42344.86
3/4/2020,43404.76
3/3/2020,42472.25
3/2/2020,42167.24
2/28/2020,41324.31
2/27/2020,41607.42
2/26/2020,42737.28
2/25/2020,43045.68
2/24/2020,43818.07
2/21/2020,44802.54
2/20/2020,44774.54
2/19/2020,44901.5
2/18/2020,44974.11
2/17/2020,45016.96
2/14/2020,44999.68
2/13/2020,45005.12
2/12/2020,45338.37
2/11/2020,45027.41
2/10/2020,44290.53
2/7/2020,44399.33
2/6/2020,44493.15
2/5/2020,44782.86
2/4/2020,45047.07
1/31/2020,44108.31
1/30/2020,44862.76
1/29/2020,45132.6
1/28/2020,44717.94
1/27/2020,44134.39
1/24/2020,45141.62
1/23/2020,45476.43
1/22/2020,45604.44
1/21/2020,45637.32
1/20/2020,45902.68
1/17/2020,45817.76
1/16/2020,45303.08
1/15/2020,44453.33
1/14/2020,44773.24
1/13/2020,44847.47
1/10/2020,44660.33
1/9/2020,44572.17
1/8/2020,44470.91
1/7/2020,44157.81
1/6/2020,44495.3
1/3/2020,44624.85
1/2/2020,44437.23
