amusement park,Change in attendance
"OCT Happy Valley, Beijing, China",29.6%
"OCT Happy Valley, Shanghai, China",21.1%
"OCT Happy Valley Chengdu, China",15.5%
"Everland, South Korea",12.9%
"Chimelong Ocean Kingdom, China",8.4%
"China Dinosaur Park, Changzhou, China",8%
"Chimelong Paradise, China",4.8%
"Universal Studios, Singapore",2.3%
"OCT Happy Valley, Shenzhen, China",1.8%
"Universal Studios, Japan",1.4%
"Zhengzhou Fantawild Adventure, China",1.1%
"Nagashima Spa Land, Japan",0.5%
"OCT Window of the World, Shenzen, China",0%
"Tokyo Disney Sea, Japan",0%
"Tokyo Disneyland, Japan",0%
"Lotte World, South Korea",-0.1%
"Ocean Park, Hong Kong",-1.7%
"Ningbo Fantawild Oriental Heritage, China",-4.4%
"Shanghai Disneyland, China",-5%
"Hong Kong Disneyland, Hong Kong",-15%
