Year,GDP per capita in U.S. dollars
2025,1056.77
2024,999.12
2023,935.86
2022,864.67
2021,819.65
2020,823.4
2019,816.36
2018,795.76
2017,784.14
2016,759.49
2015,759.76
2014,727.97
2013,709.83
2012,696.73
2011,636.44
2010,577.41
2009,554.56
2008,511.87
2007,415.71
2006,349.99
2005,293.25
2004,240.95
2003,215.3
2002,200.12
2001,209.12
2000,229.24
1999,262.56
1998,312.59
1997,319.39
1996,248.49
1995,226.63
1994,206.47
1993,301.09
1992,292.94
1991,276.23
1990,385.96
1989,413.15
1988,409.15
1987,284.74
1986,257.82
1985,225.78
