Response,Share of urban households
Egypt,89.73%
Algeria,79.17%
Namibia,73.9%
Mauritius,70.44%
Equatorial Guinea,62.52%
Seychelles,53.88%
Morocco,50.53%
Djibouti,47.89%
Senegal,40.26%
Sao Tome and Principe,40.23%
Lesotho,39.58%
Tunisia,37.31%
eSwatini**,36.22%
Nigeria,26.95%
Togo,25.51%
Botswana,22.11%
Cabo Verde,21.56%
Cote d'Ivoire,21.5%
South Africa,20.4%
Chad,18.86%
Kenya,11.36%
Gabon,11.03%
Eritrea,10.83%
Ghana,9.4%
Comoros,8.83%
Zambia,8.5%
Sudan,8.33%
Angola,8.12%
Libya,7.95%
Sierra Leone,6.96%
Gambia,6.04%
Cameroon,4.56%
Rwanda,4.29%
Guinea Bissau,4.19%
Uganda,3.93%
South Sudan,3.57%
Mali,3.48%
Zimbabwe,3.29%
Mauritania,3.24%
Benin,3.15%
Guinea,3.1%
Tanzania,2.25%
Burkina Faso,2.01%
Malawi,1.91%
Niger,1.78%
Madagascar,1.76%
Central African Republic,1.45%
Mozambique,1.23%
Burundi,0.69%
"Congo, Dem. Rep.",0.58%
Ethiopia,0.42%
Liberia,0.01%
