Year,GDP per capita in U.S. dollars
2025*,4212.44
2024*,4016.67
2023*,3859.27
2022*,3706.0
2021*,3606.29
2020*,3561.14
2019*,3043.64
2018,2577.27
2017,2484.54
2016,3653.67
2015,3731.18
2014,3524.42
2013,3400.32
2012,3383.11
2011,3077.34
2010,2921.76
2009,2578.05
2008,2270.36
2007,1861.05
2006,1563.48
2005,1330.46
2004,1195.37
2003,1254.1
2002,1356.68
2001,1569.04
2000,1642.63
1999,1532.89
1998,1469.32
1997,1342.93
1996,1221.89
1995,1111.78
1994,978.54
1993,906.8
1992,825.45
1991,923.84
1990,1870.85
1989,2266.44
1988,1858.03
1987,1585.22
1986,1132.46
1985,1049.33
