Month,Number of players in thousands
Nov '20,53.34
Oct '20,54.2
Sep '20,54.55
Aug '20,53.04
Jul '20,64.39
Jun '20,60.94
May '20,76.44
Apr '20,70.3
Mar '20,66.46
Feb '20,49.56
Jan '20,55.2
Dec '19,51.21
Nov '19,42.63
Oct '19,44.35
Sept '19,36.44
Aug '19,35.71
Jul '19,42.12
Jun '19,38.97
May '19,40.59
Apr '19,43.61
Mar '19,64.71
Feb '19,93.89
Jan '19,47.65
Dec '18,47.73
Nov '18,44.17
Oct '18,31.11
Sept '18,36.27
Aug '18,27.64
Jul '18,28.12
Jun '18,28.23
May '18,30.01
Aprl '18,31.93
Mar '18,42.67
Feb '18,79.74
Jan '18,42.77
Dec '17,35.06
Nov '17,28.88
Oct '17,30.23
Sept '17,25.12
Aug '17,27.11
Jul '17,29.99
Jun '17,26.12
May '17,27.89
Apr '17,29.57
Mar '17,31.83
Feb '17,34.86
Jan '17,44.42
Dec '16,41.96
Nov '16,84.77
Oct '16,162.31
