Year,Number of recipients
2029-30*,190000
2028-29*,190000
2027-28*,190000
2026-27*,190000
2025-26*,189000
2024-25*,188000
2023-24*,188000
2022-23*,187000
2021-22*,187000
2020-21*,187000
2019-20*,186000
2018-19*,186000
2017-18,184074
2016-17,181357
2015-16,178134
2014-15,178548
2013-14,177587
2012-13,175026
2011-12,170217
2010-11,163827
2009-10,158590
2008-09,154564
2007-08,149190
2006-07,144694
2005-06,138056
2004-05,134387
2003-04,126087
2002-03,121579
2001-02,119663
2000-01,119585
1999-00,118736
1989-90,103508
1979-80,95631
1969-70,59486
1959-60,9829
1949-50,6420
1939-40,3290
1929-30,2299
1919-20,615
1909-10,443
1899-00,382
1889-90,149
1879-80,54
1869-70,1
