Month,Price in euros per square meter
Dec 2020,11.1
Nov 2020,11.2
Oct 2020,11.2
Sep 2020,11.3
Aug 2020,11.2
Jul 2020,11.2
Jun 2020,11.1
May 2020,10.6
Apr 2020,10.3
Mar 2020,10.1
Feb 2020,10.1
Jan 2020,10.0
Dec 2019,10.1
Nov 2019,10.1
Oct 2019,10.2
Sep 2019,10.2
Aug 2019,10.2
Jul 2019,10.2
Jun 2019,10.1
May 2019,10.0
Apr 2019,9.9
Mar 2019,9.8
Feb 2019,9.8
Jan 2019,9.8
Dec 2018,9.8
Nov 2018,9.8
Oct 2018,9.8
Sep 2018,9.8
Aug 2018,9.8
Jul 2018,9.8
Jun 2018,9.7
May 2018,9.5
Apr 2018,9.5
Mar 2018,9.4
Feb 2018,9.4
Jan 2018,9.4
