Bachelor's degree,Mid-career pay in U.S. dollars
Petroleum Engineering,182000
Electrical Engineering & Computer Science (EECS),152300
Applied Economics and Management,139600
Operations Research,139600
Public Accounting,138800
Chemical Engineering/Materials Science & Engineering,137800
Quantative Business Analysis,136200
Pharmacy,133200
Aeronautics & Astronautics,133100
Systems Engineering,132900
Electrical Power Engineering,130700
Actuarial Mathematics,130500
Aerospace Studies,130300
Chemical Engineering,128900
Actuarial Science,128700
Information & Computer Science,127600
Aeronautical Engineering,125900
Operations & Information Systems Management,125100
Political Economy,125100
Marine Engineering,125000
