most popular Android app categories,Penetration rate among Android users
Tools,100%
Communication,100%
Video Players & Edit,99.44%
Travel & Local,98.33%
Entertainment,97.22%
Social,97.22%
Music & Audio,95.56%
News & Magazines,95.56%
Productivity,92.78%
Books & Reference,83.89%
Photography,66.11%
Personalization,56.11%
Lifestyle,55.56%
Business,53.33%
Shopping,47.22%
Weather,45.56%
Finance,41.11%
Sports,41.11%
Health & Fitness,37.78%
Education,36.67%
Media & Video,34.44%
Maps & Navigation,26.11%
Food & Drink,8.89%
Comics,8.89%
Medical,7.78%
Art & Design,6.67%
Libraries & Demo,5.56%
Transportation,4.44%
Beauty,3.89%
Music,3.33%
