Response,Percentage of black adults
West Virginia,47.4%
Mississipi,46%
Tennessee,45%
Alabama,45%
North Carolina,44.8%
Arkansas,44.7%
South Carolina,43.7%
Louisiana,43.6%
Iowa,43.4%
Wisconsin,42.9%
Virginia,42.8%
Nebraska,42.6%
Missouri,42%
Michigan,41.8%
Oklahoma,41.7%
Pennsylvania,41.5%
Maryland,41%
Kansas,41%
Illinois,40.5%
Ohio,40.1%
Kentucky,39.9%
Indiana,39.9%
Delaware,39.8%
Alaska,39.8%
Georgia,39.2%
Connecticut,38.6%
Nevada,38.3%
Texas,38.3%
D.C.,38%
Florida,36.6%
Rhode Island,36.2%
California,35.6%
Arizona,35%
New York,35%
Wyoming,35%
Vermont,34.5%
New Mexico,33.5%
Minnesota,32.9%
Washington,32.4%
Utah,32.2%
Hawaii,31.5%
South Dakota,30.8%
Oregon,30.8%
Massachusetts,29.7%
Colorado,29.4%
Maine,29%
North Dakota,27.7%
Montana,25%
New Hampshire,24.7%
