Month,Total number of cases
Jan 3,17642
Dec 6,15591
Nov 30,15139
Nov 22,14493
Nov 19,14134
Nov 15,13451
Nov 10,12816
Nov 5,12102
Nov 1,11035
Oct 29,10269
Oct 25,9381
Oct 20,8049
Oct 17,7462
Oct 14,6846
Oct 11,6366
Oct 5,5402
Oct 1,5114
Sep 28,4797
Sep 24,4475
Sep 20,3991
Sep 17,3789
Sep15,3569
Sep 13,3388
Sep 9,3092
Sep 6,2965
Sep 3,2805
Sep 1,2729
Aug 30,2624
Aug 28,2415
Aug 25,2283
Aug 23,2171
Aug 21,2044
Aug 17,1935
Aug 14,1815
Aug 10,1679
Aug 6,1483
Aug 2,1199
Jul 30,1109
Jul 25,916
Jul 20,749
Jul 15,576
Jul 10,458
Jul 09,396
Jul 04,346
Jun 29,276
Jun 24,197
Jun 19,172
Jun 14,140
Jun 09,96
Jun 04,86
May 30,84
May 25,70
May 20,52
May 15,48
May 10,43
May 05,36
Apr 30,27
Apr 25,25
Apr 20,24
Apr 15,19
Apr 10,19
Apr 05,14
Mar 31,7
Mar 26,4
Mar 21,2
Mar 16,0
Mar 11,0
Mar 06,0
Mar 01,0
Feb 25,0
Feb 20,0
Feb 15,0
