Response,Share of GDP
2018,1.62%
2017,1.55%
2016,1.43%
2015,1.6%
2014,1.55%
2013,1.45%
2012,1.63%
2011,1.65%
2010,1.6%
2009,1.32%
2008,1.51%
2007,1.61%
2006,1.51%
2005,1.68%
2004,1.82%
2003,1.85%
2002,2.01%
2001,2.1%
2000,2.09%
1999,2.23%
1998,2.36%
1997,2.34%
1996,2.4%
1995,2.44%
1994,2.4%
1993,2.29%
1992,2.59%
1991,2.61%
1990,3.13%
1989,3.12%
1988,2.84%
1987,3.08%
1986,3.23%
1985,3.33%
1984,3.35%
1983,3.59%
1982,4.05%
1981,3.53%
1980,3.6%
1979,4.13%
1978,4.17%
1977,4.31%
1976,4.55%
1975,4.81%
1974,5.41%
1973,6.77%
1972,6.77%
1971,6.06%
1970,6.62%
1969,6.67%
1968,7.32%
1967,7.56%
1966,7.59%
1965,7.78%
1964,7.98%
1963,8.82%
1962,9.83%
1961,9.08%
1960,10.53%
