Year,GDP per capita in U.S. dollars
2025*,5255.7
2024*,4994.51
2023*,4747.44
2022*,4526.03
2021*,4347.0
2020*,4173.85
2019*,4425.69
2018,4341.04
2017,4273.91
2016,4224.8
2015,4218.83
2014,4129.99
2013,4054.77
2012,3930.95
2011,3826.55
2010,3679.19
2009,3492.1
2008,3384.15
2007,2762.82
2006,2537.3
2005,2203.09
2004,2061.46
2003,1889.22
2002,1812.29
2001,1728.16
2000,1657.91
1999,1624.98
1998,1605.61
1997,1499.56
1996,1469.0
1995,1454.17
1994,1409.79
1993,1320.38
1992,1353.05
1991,1157.62
1990,1168.51
1989,1252.55
1988,1944.32
1987,2158.26
1986,2126.68
1985,1726.94
