Response,Share of women surveyed
They aren't tested on animals,61%
They don't harm animals,51%
The don't contain any chemical ingredients,49%
They don't contain ingredients of animal origin,49%
They respect the humna nature,48%
They contain only natural ingredients,47%
They don't contain GMOs,44%
They don't pollute,43%
They don't contain parabens,43%
They contain only organic ingredients,37%
They don't contain sulphides,36%
They have a recyclable packaging,33%
They don't contain aluminum,32%
They contain essential oils,14%
They contain herbs,14%
