Year,Gross domestic product in billion international dollars
2021*,475.48
2020*,446.27
2019,476.81
2018,461.33
2017,439.72
2016,421.16
2015,408.34
2014,400.07
2013,390.22
2012,383.4
2011,373.64
2010,355.6
2009,345.16
2008,355.95
2007,344.14
2006,323.09
2005,303.13
2004,287.52
2003,272.53
2002,265.07
2001,256.7
2000,248.05
1999,234.7
1998,223.41
1997,213.29
1996,205.37
1995,196.96
1994,187.9
1993,179.65
1992,174.58
1991,167.19
1990,156.34
1989,144.42
1988,133.77
1987,127.99
1986,122.83
1985,117.65
1984,111.55
