Country,"Number of deaths per 100,000 population"
Belgium,172.41
Slovenia,138.93
Italy,124.81
Czechia,113.34
United Kingdom,112.57
Bulgaria,109.69
Spain,108.82
Hungary,102.09
Croatia,99.9
France,97.05
Liechtenstein,91.2
Sweden,87.83
Luxembourg,82.42
Romania,82.3
Poland,76.79
Austria,70.59
Portugal,69.26
Netherlands,67.11
Lithuania,48.71
Slovakia,46.25
Greece,46.22
Ireland,46.06
Malta,44.57
Germany,41.65
Latvia,35.42
Denmark,23.66
Estonia,18.95
Cyprus,14.96
Finland,10.24
Norway,8.43
Iceland,8.12
