province of Argentina,Number of households in thousands
Buenos Aires Province,4789.48
Buenos Aires City,1150.13
Córdoba,1031.84
Santa Fe,1023.78
Mendoza,494.84
Entre Ríos,375.12
Tucumán,368.54
Misiones,302.95
Salta,299.79
Chaco,288.42
Corrientes,267.8
Santiago del Estero,218.03
Río Negro,199.19
San Juan,177.16
Jujuy,174.63
Neuquén,170.06
Chubut,157.17
Formosa,140.3
San Luis,126.92
La Pampa,107.67
Catamarca,96.0
La Rioja,91.1
Santa Cruz,81.8
"Tierra del Fuego, Antarctica and South Atlantic Islands",38.96
