Month,Number of new cases
"Dec 16, 2020",8815
"Dec 15, 2020",7012
"Dec 14, 2020",3542
"Dec 13, 2020",3058
"Dec 12, 2020",6542
"Dec 11, 2020",7723
"Dec 10, 2020",6705
"Dec 9, 2020",8397
"Dec 8, 2020",7451
"Dec 7, 2020",3775
"Dec 6, 2020",1803
"Dec 5, 2020",4866
"Dec 4, 2020",7340
"Dec 3, 2020",6989
"Dec 2, 2020",6547
"Dec 1, 2020",5815
"Nov 30, 2020",3487
"Nov 29, 2020",2754
"Nov 28, 2020",3825
"Nov 27, 2020",6463
"Nov 26, 2020",6906
"Nov 25, 2020",6062
"Nov 24, 2020",5676
"Nov 23, 2020",3875
"Nov 22, 2020",2423
"Nov 21, 2020",4496
"Nov 20, 2020",5462
"Nov 19, 2020",7628
"Nov 18, 2020",4962
"Nov 17, 2020",4460
"Nov 16, 2020",2544
"Nov 15, 2020",1582
"Nov 14, 2020",3515
"Nov 13, 2020",6738
"Nov 12, 2020",5634
"Nov 11, 2020",5757
"Nov 10, 2020",4557
"Nov 9, 2020",3726
"Nov 8, 2020",2098
"Nov 7, 2020",4453
"Nov 6, 2020",4455
"Nov 5, 2020",4746
"Nov 4, 2020",4485
"Nov 3, 2020",3610
"Nov 2, 2020",1570
"Nov 1, 2020",1298
"Oct 31, 2020",2987
"Oct 30, 2020",4056
"Oct 29, 2020",3262
"Oct 28, 2020",3390
"Oct 27, 2020",2415
"Oct 26, 2020",1070
"Oct 25, 2020",516
"Oct 24, 2020",1477
"Oct 23, 2020",1869
"Oct 22, 2020",1667
"Oct 21, 2020",1571
"Oct 20, 2020",1291
"Oct 19, 2020",770
"Oct 18, 2020",321
"Oct 17, 2020",697
"Oct 16, 2020",1180
"Oct 15, 2020",902
"Oct 14, 2020",968
"Oct 13, 2020",916
"Oct 12, 2020",637
"Oct 11, 2020",161
"Oct 10, 2020",509
"Oct 9, 2020",783
"Oct 8, 2020",834
"Oct 7, 2020",831
"Oct 6, 2020",786
"Oct 5, 2020",374
"Oct 4, 2020",155
"Oct 3, 2020",461
"Oct 2, 2020",712
"Oct 1, 2020",633
"Sep 30, 2020",688
"Sep 29, 2020",613
"Sep 28, 2020",378
"Sep 27, 2020",167
"Sep 26, 2020",325
"Sep 25, 2020",629
"Sep 24, 2020",540
"Sep 23, 3030",553
"Sep 22, 2020",438
"Sep 21, 2020",266
"Sep 20, 2020",133
"Sep 19, 2020",279
"Sep 18, 2020",437
"Sep 17, 2020",389
"Sep 16, 2020",330
"Sep 15, 2020",292
"Sep 14, 2020",220
"Sep 13, 2020",106
"Sep 12, 2020",206
"Sep 11, 2020",291
"Sep 10, 2020",255
"Sep 9, 2020",314
"Sep 8, 2020",236
"Sep 7, 2020",185
"Sep 6, 2020",67
"Sep 5, 2020",171
"Sep 4, 2020",262
"Sep 3, 2020",286
"Sep 2, 2020",213
"Sep 1, 2020",171
"Aug 31, 2020",162
"Aug 30, 2020",48
"Aug 29, 2020",131
"Aug 28, 2020",179
"Aug 27, 2020",202
"Aug 26, 2020",244
"Aug 25, 2020",222
"Aug 24, 2020",174
"Aug 23, 2020",57
"Aug 22, 2020",160
"Aug 21, 2020",298
"Aug 20, 2020",333
"Aug 19, 2020",351
"Aug 18, 2020",314
"Aug 17, 2020",174
"Aug 16, 2020",63
"Aug 15, 2020",226
"Aug 14, 2020",344
"Aug 13, 2020",363
"Aug 12, 2020",443
"Aug 11, 2020",417
"Aug 10, 2020",196
"Aug 9, 2020",73
"Aug 8, 2020",260
"Aug 7, 2020",380
"Aug 6, 2020",378
"Aug 5, 2020",425
"Aug 4, 2020",333
"Aug 3, 2020",165
"Aug 2, 2020",38
"Aug 1, 2020",303
"Jul 31, 2020",258
"Jul 30, 2020",302
"Jul 29, 2020",301
"Jul 28, 2020",283
"Jul 27, 2020",71
"Jul 26, 2020",42
"Jul 25, 2020",138
"Jul 24, 2020",262
"Jul 23, 2020",220
"Jul 22, 2020",297
"Jul 21, 2020",226
"Jul 20, 2020",131
"Jul 19, 2020",110
"Jul 18, 2020",191
"Jul 17, 2020",284
"Jul 16, 2020",268
"Jul 15, 2020",287
"Jul 14, 2020",312
"Jul 13, 2020",170
"Jul 12, 2020",106
"Jul 11, 2020",308
"Jul 10, 2020",369
"Jul 09, 2020",334
"Jul 08, 2020",533
"Jul 07, 2020",278
"Jul 06, 2020",251
"Jul 05, 2020",315
"Jul 04, 2020",364
"Jul 03, 2020",694
"Jul 02, 2020",687
"Jul 01, 2020",684
"Jun 30, 2020",804
"Jun 29, 2020",727
"Jun 28, 2020",415
"Jun 27, 2020",755
"Jun 26, 2020",1204
"Jun 25, 2020",1279
"Jun 24, 2020",1698
"Jun 23, 2020",1309
"Jun 22, 2020",800
"Jun 21, 2020",321
"Jun 20, 2020",698
"Jun 19, 2020",1209
"Jun 18, 2020",1494
"Jun 17, 2020",1457
"Jun 16, 2020",1209
"Jun 15, 2020",685
"Jun 14, 2020",418
"Jun 13, 2020",1032
"Jun 12, 2020",1329
"Jun 11, 2020",1293
"Jun 10, 2020",1437
"Jun 09, 2020",936
"Jun 08, 2020",677
"Jun 07, 2020",462
"Jun 06, 2020",780
"Jun 05, 2020",1146
"Jun 04, 2020",1039
"Jun 03, 2020",1046
"Jun 02, 2020",900
"Jun 01, 2020",648
"May 31, 2020",265
"May 30, 2020",432
"May 29, 2020",773
"May 28, 2020",774
"May 27, 2020",800
"May 26, 2020",746
"May 25, 2020",491
"May 24, 2020",210
"May 23, 2020",403
"May 22, 2020",532
"May 21, 2020",610
"May 20, 2020",808
"May 19, 2020",666
"May 18, 2020",430
"May 17, 2020",259
"May 16, 2020",358
"May 15, 2020",688
"May 14, 2020",657
"May 13, 2020",698
"May 12, 2020",754
"May 11, 2020",455
"May 10, 2020",279
"May 09, 2020",509
"May 08, 2020",700
"May 07, 2020",784
"May 06, 2020",745
"May 05, 2020",657
"May 04, 2020",477
"May 03, 2020",261
"May 02, 2020",299
"May 01, 2020",532
"Apr 30, 2020",635
"Apr 29, 2020",799
"Apr 28, 2020",742
"Apr 27, 2020",563
"Apr 26, 2020",300
"Apr 25, 2020",473
"Apr 24, 2020",780
"Apr 23, 2020",758
"Apr 22, 2020",722
"Apr 21, 2020",707
"Apr 20, 2020",461
"Apr 19, 2020",388
"Apr 18, 2020",532
"Apr 17, 2020",688
"Apr 16, 2020",623
"Apr 15, 2020",604
"Apr 14, 2020",479
"Apr 13, 2020",437
"Apr 12, 2020",464
"Apr 11, 2020",395
"Apr 10, 2020",454
"Apr 09, 2020",645
"Apr 08, 2020",654
"Apr 07, 2020",738
"Apr 06, 2020",389
"Apr 05, 2020",340
"Apr 04, 2020",357
"Apr 03, 2020",601
"Apr 02, 2020",554
"Apr 01, 2020",486
"Mar 31, 2020",475
"Mar 30, 2020",416
"Mar 29, 2020",280
"Mar 28, 2020",300
"Mar 27, 2020",365
"Mar 26, 2020",286
"Mar 25, 2020",314
"Mar 24, 2020",230
"Mar 23, 2020",182
"Mar 22, 2020",118
"Mar 21, 2020",136
"Mar 20, 2020",180
"Mar 19, 2020",143
"Mar 18, 2020",145
"Mar 17, 2020",119
"Mar 16, 2020",83
"Mar 15, 2020",69
"Mar 14, 2020",71
"Mar 13, 2020",152
"Mar 12, 2020",151
"Mar 11, 2020",196
"Mar 10, 2020",98
"Mar 09, 2020",101
"Mar 08, 2020",46
"Mar 07, 2020",33
"Mar 06, 2020",59
"Mar 05, 2020",25
"Mar 04, 2020",30
"Mar 03, 2020",13
"Mar 02, 2020",5
"Mar 01, 2020",0
"Feb 29, 2020",3
"Feb 28, 2020",8
"Feb 27, 2020",1
"Feb 26, 2020",1
"Feb 25, 2020",0
"Feb 24, 2020",0
"Feb 23, 2020",0
"Feb 22, 2020",0
"Feb 21, 2020",0
"Feb 20, 2020",0
"Feb 19, 2020",0
"Feb 18, 2020",0
"Feb 17, 2020",0
"Feb 16, 2020",0
"Feb 15, 2020",0
"Feb 14, 2020",0
"Feb 13, 2020",0
"Feb 12, 2020",0
"Feb 11, 2020",0
"Feb 10, 2020",0
"Feb 09, 2020",0
"Feb 08, 2020",0
"Feb 07, 2020",0
"Feb 06, 2020",0
"Feb 05, 2020",0
"Feb 04, 2020",1
