State,Value in million U.S. dollars
Texas,137119.31
California,44661.09
Michigan,34277.46
Unallocated,30582.74
Ohio,27589.16
Illinois,24933.93
New York,19628.39
Indiana,18913.95
Pennsylvania,15439.35
Louisiana,11369.15
Tennessee,11226.26
Washington,11078.68
North Carolina,10436.05
Arizona,10385.96
New Jersey,10044.97
Wisconsin,10035.74
Kentucky,9993.97
Georgia,9509.41
Florida,7686.18
Missouri,7235.54
Minnesota,7176.62
North Dakota,6360.87
South Carolina,6208.19
Alabama,6150.96
Iowa,5936.28
Massachusetts,4916.16
Mississippi,4164.34
Virginia,4120.36
Kansas,4116.93
Oregon,3890.09
Nebraska,3326.23
Connecticut,2762.35
New Mexico,2515.9
Colorado,2504.63
Oklahoma,2401.09
Arkansas,2281.48
Utah,2153.58
Maryland,2057.49
Nevada,1935.4
West Virginia,1647.58
Maine,1461.84
New Hampshire,1268.65
Vermont,1241.34
Idaho,1201.24
Puerto Rico,1161.7
Delaware,875.79
South Dakota,841.13
Montana,794.44
Rhode Island,779.6
Alaska,605.24
Wyoming,270.71
District of Columbia,24.25
Virgin Islands,19.86
Hawaii,16.9
