federal subject,"Cases per 100,000 population"
Altai Republic,5123.1
Yamalo-Nenets Autonomous Okrug,4842.4
Moscow,4772.3
Kalmykia Republic,4301.3
Magadan Oblast,4054.2
Tyva Republic,3789.7
Murmansk Oblast,3697.7
Arkhangelsk Oblast,2859.2
Karachay-Cherkess Republic,2624.6
Komi Republic,2600.8
Karelia Republic,2458.9
Kamchatka Krai,2447.2
Saint Petersburg,2334.6
Sakhalin Oblast,2319.0
Khakassia Republic,2258.2
Ulyanovsk Oblast,2244.6
Orel Oblast,2189.6
Sakha (Yakutia) Republic,2067.2
Khanty-Mansi Autonomous Okrug - Yugra,2051.4
Novgorod Oblast,1982.3
Pskov Oblast,1966.6
Buryatia Republic,1916.8
Ingushetia Republic,1869.2
Khabarovsk Krai,1868.0
Jewish Autonomous Oblast,1864.5
Zabaykalsky Krai,1815.5
Kostroma Oblast,1799.4
Adygea Republic,1736.7
Tomsk Oblast,1709.2
Nizhny Novgorod Oblast,1700.6
Kaluga Oblast,1598.7
Ivanovo Oblast,1586.7
Russia on average,1564.4
Penza Oblast,1549.7
Nenets Autonomous Okrug,1484.9
Voronezh Oblast,1481.9
Kabardino-Balkarian Republic,1464.3
Bryansk Oblast,1449.6
Moscow Oblast,1444.2
Amur Oblast,1439.3
Kirov Oblast,1430.4
Kursk Oblast,1385.2
Astrakhan Oblast,1363.4
Mordovia Republic,1359.2
North Ossetia - Alania Republic,1343.6
Irkutsk Oblast,1342.1
Smolensk Oblast,1317.1
Tambov Oblast,1311.5
Yaroslavl Oblast,1311.3
Ryazan Oblast,1267.9
Krasnoyarsk Krai,1263.4
Tver Oblast,1201.9
Tyumen Oblast,1187.9
Orenburg Oblast,1184.9
Omsk Oblast,1171.2
Primorsky Krai,1156.3
Tula Oblast,1132.7
Kaliningrad Oblast,1132.7
Altai Krai,1127.7
Saratov Oblast,1121.7
Mari El Republic,1115.6
Volgograd Oblast,1090.2
Sverdlovsk Oblast,1074.6
Kurgan Oblast,1051.6
Vologda Oblast,1049.0
Belgorod Oblast,1047.3
Chuvashia Republic,1031.6
Stavropol Krai,988.7
Lipetsk Oblast,986.6
Vladimir Oblast,974.5
Sevastopol,968.3
Rostov Oblast,953.6
Leningrad Oblast,903.2
Udmurt Republic,890.6
Novosibirsk Oblast,810.8
Crimea Republic,804.0
Perm Krai,795.7
Kemerovo Oblast,781.7
Chukotka Autonomous Okrug,766.9
Chelyabinsk Oblast,728.3
Samara Oblast,703.2
Dagestan Republic,610.2
Krasnodar Krai,389.0
Bashkortostan Republic,353.3
Chechen Republic,296.2
Tatarstan Republic,264.9
