Year,Cumulative number of positive cases
1/5/21,1041028
1/4/21,1028362
1/3/21,1017153
1/2/21,1005785
1/1/21,990711
12/31/20,974214
12/30/20,957412
12/29/20,943990
12/28/20,932552
12/27/20,922145
12/26/20,914522
12/25/20,903716
12/24/20,891270
12/23/20,878702
12/22/20,866765
12/21/20,857049
12/20/20,848042
12/19/20,838085
12/18/20,828166
12/17/20,815469
12/16/20,804555
12/15/20,794557
12/14/20,784204
12/13/20,775160
12/12/20,764966
12/11/20,753837
12/10/20,743242
12/9/20,733064
12/8/20,722464
12/7/20,713129
12/6/20,705827
12/5/20,696125
12/4/20,685364
12/3/20,674093
12/2/20,664238
12/1/20,655265
11/30/20,647980
11/29/20,641161
11/28/20,634438
11/27/20,628375
11/26/20,620199
11/25/20,613266
11/24/20,607001
11/23/20,602120
11/22/20,596214
11/21/20,590822
11/20/20,584850
11/19/20,579382
11/18/20,574072
11/17/20,568778
11/16/20,563690
11/15/20,560200
11/14/20,556551
11/13/20,551163
11/12/20,545762
11/11/20,540965
11/10/20,536145
11/9/20,532180
11/8/20,529036
11/7/20,525608
11/6/20,522021
11/5/20,518812
11/4/20,515815
11/3/20,513689
11/2/20,511368
11/1/20,509735
10/31/20,507480
10/30/20,505431
10/29/20,503176
10/28/20,500677
10/27/20,498646
10/26/20,496655
10/25/20,495464
10/24/20,493832
10/23/20,491771
10/22/20,490134
10/21/20,488506
10/20/20,486480
10/19/20,485279
10/18/20,484281
10/17/20,482891
10/16/20,481107
10/15/20,479400
10/14/20,477940
10/13/20,476708
10/12/20,475315
10/11/20,474286
10/10/20,473143
10/9/20,471696
10/8/20,470104
10/7/20,468268
10/6/20,466908
10/5/20,465515
10/4/20,464582
10/3/20,463360
10/2/20,461629
10/1/20,460031
9/30/20,458649
9/29/20,457649
9/28/20,456460
9/27/20,455626
9/26/20,454760
9/25/20,453755
9/24/20,452847
9/23/20,451892
9/22/20,451227
9/21/20,450473
9/20/20,449900
9/19/20,449038
9/18/20,448052
9/17/20,447262
9/16/20,446366
9/15/20,445714
9/14/20,444948
9/13/20,444365
9/12/20,443640
9/11/20,442791
9/10/20,441911
9/9/20,441154
9/8/20,440578
9/7/20,440021
9/6/20,439501
9/5/20,438772
9/4/20,437971
9/3/20,437107
9/2/20,436218
9/1/20,435510
8/31/20,434756
8/30/20,434100
8/29/20,433402
8/28/20,432767
8/27/20,432131
8/26/20,431340
8/25/20,430774
8/24/20,430145
8/23/20,429737
8/22/20,429165
8/21/20,428512
8/20/20,427803
8/19/20,427202
8/18/20,426571
8/17/20,425916
8/16/20,425508
8/15/20,424901
8/14/20,424167
8/13/20,423440
8/12/20,422703
8/11/20,422003
8/10/20,421336
8/9/20,420860
8/8/20,420345
8/7/20,419642
8/6/20,418928
8/5/20,418225
8/4/20,417589
8/3/20,416843
8/2/20,416298
8/1/20,415767
7/31/20,415014
7/30/20,414370
7/29/20,413593
7/28/20,412878
7/27/20,412344
7/26/20,411736
7/25/20,411200
7/24/20,410450
7/23/20,409697
7/22/20,408886
7/21/20,408181
7/20/20,407326
7/19/20,406807
7/18/20,406305
7/17/20,405551
7/16/20,404775
7/15/20,404006
7/14/20,403175
7/13/20,402263
7/12/20,401706
7/11/20,401029
7/10/20,400299
7/9/20,399513
7/8/20,398929
7/7/20,398237
7/6/20,397649
7/5/20,397131
7/4/20,396598
7/3/20,395872
7/2/20,394954
7/1/20,394079
6/30/20,393454
6/29/20,392930
6/28/20,392539
6/27/20,391923
6/26/20,391220
6/25/20,390415
6/24/20,389666
6/23/20,389085
6/22/20,388488
6/21/20,387936
6/20/20,387272
6/19/20,386556
6/18/20,385760
6/17/20,385142
6/16/20,384575
6/15/20,383944
6/14/20,383324
6/13/20,382630
6/12/20,381714
6/11/20,380892
6/10/20,380156
6/9/20,379482
6/8/20,378799
6/7/20,378097
6/6/20,377316
6/5/20,376208
6/4/20,375133
6/3/20,374085
6/2/20,373040
6/1/20,371711
5/31/20,370770
5/30/20,369660
5/29/20,368284
5/28/20,366733
5/27/20,364965
5/26/20,363836
5/25/20,362764
5/24/20,361515
5/23/20,359926
5/22/20,358154
5/21/20,356458
5/20/20,354370
5/19/20,352845
5/18/20,351371
5/17/20,350121
5/16/20,348232
5/15/20,345813
5/14/20,343051
5/13/20,340661
5/12/20,338485
5/11/20,337055
5/10/20,335395
5/9/20,333122
5/8/20,330407
5/7/20,327649
5/6/20,323978
5/5/20,321192
5/4/20,318953
5/3/20,316415
5/2/20,312977
5/1/20,308314
4/30/20,304372
4/29/20,299691
4/28/20,295106
4/27/20,291996
4/26/20,288045
4/25/20,282143
4/24/20,271590
4/23/20,263460
4/22/20,257216
4/21/20,251690
4/20/20,247512
4/19/20,242786
4/18/20,236732
4/17/20,229642
4/16/20,222284
4/15/20,213779
4/14/20,202208
4/13/20,195031
4/12/20,188694
4/11/20,180458
4/10/20,170512
4/9/20,159937
4/8/20,149316
4/7/20,138863
4/6/20,130689
4/5/20,122031
4/4/20,113704
4/3/20,102863
4/2/20,92381
4/1/20,83712
3/31/20,75795
3/30/20,66497
3/29/20,59513
3/28/20,52318
3/27/20,44635
3/26/20,37258
3/25/20,30811
3/24/20,25665
3/23/20,20875
3/22/20,15168
3/21/20,10356
3/20/20,7102
3/19/20,4152
3/18/20,2382
3/17/20,1700
3/16/20,950
3/15/20,729
3/14/20,524
3/13/20,421
3/12/20,216
3/11/20,216
3/10/20,173
3/9/20,142
3/8/20,105
3/7/20,76
3/6/20,33
3/5/20,22
3/4/20,6
