most shared global online ads,Number of shares in thousands
John Lewis – #BusterTheBoxer,1949.39
Channel 4 – We Are The Superhumans,1851.53
Shell – Best Day Of My Life | #makethefuture,1683.07
Vodafone – Ramadan 2016,1435.35
OK Go & S7 Airlines – Upside Down and Inside Out,1240.84
Nike – The Switch,969.65
Doritos – Ultrasound,893.47
Ariel – #sharetheload,877.56
Cadbury’s Dairy Milk – Aliens,852.9
7 Eleven Thailand – Teachers,792.33
McDonald’s Philippines – Tuloy Pa Rin,699.4
Nike Basketball – The Conductor,641.36
Volkswagen – Trailer Assist,641.0
Samsung – Introducing Samsung Galaxy S7,616.13
OK Go & Morton Salt – The One Moment,608.42
Knorr – Spirit of Ramadan,590.39
Momondo – The DNA Journey,585.9
Facebook – Aquila Test Flight,564.12
Mentos Indonesia – Mentos Mentors,548.33
Nintendo – First Look at Nintendo Switch,544.59
