Year,Passports issued in millions
1974,2.42
1975,2.33
1976,2.82
1977,3.12
1978,3.23
1979,3.17
1980,3.02
1981,3.22
1982,3.76
1983,4.12
1984,4.72
1985,4.97
1986,4.11
1987,4.87
1988,4.06
1989,3.69
1990,3.69
1991,3.39
1992,3.28
1993,4.21
1994,4.9
1995,5.26
1996,5.55
1997,6.3
1998,6.54
1999,6.72
2000,7.29
2001,7.12
2002,7.0
2003,7.3
2004,8.83
2005,10.12
2006,12.13
2007,18.38
2008,16.13
2009,14.17
2010,14.79
2011,12.61
2012,13.13
2013,13.53
2014,14.09
2015,15.56
2016,18.68
2017,21.38
2018,21.1
2019,20.69
2020,11.71
