Quarter,Value in billion Argentine pesos
Q2 2020**,607.0
Q1 2020**,631.0
Q4 2019**,672.4
Q3 2019**,683.8
Q2 2019**,750.2
Q1 2019**,665.5
Q4 2018*,679.9
Q3 2018*,696.5
Q2 2018*,747.4
Q1 2018*,707.2
Q4 2017,724.6
Q3 2017,721.1
Q2 2017,778.4
Q1 2017,681.4
Q4 2016,693.2
Q3 2016,694.4
Q2 2016,760.7
Q1 2016,677.7
Q4 2015,703.7
Q3 2015,718.3
Q2 2015,791.2
Q1 2015,672.7
Q4 2014,686.7
Q3 2014,690.9
Q2 2014,760.6
Q1 2014,671.1
Q4 2013,706.6
Q3 2013,721.5
Q2 2013,776.5
Q1 2013,677.1
Q4 2012,707.0
Q3 2012,703.5
Q2 2012,730.8
Q1 2012,672.7
Q4 2011,703.1
Q3 2011,711.4
Q2 2011,766.3
Q1 2011,662.3
Q4 2010,668.2
Q3 2010,668.6
Q2 2010,733.7
Q1 2010,611.6
Q4 2009,615.2
Q3 2009,610.5
Q2 2009,631.2
Q1 2009,578.6
Q4 2008,613.5
Q3 2008,647.1
Q2 2008,711.4
Q1 2008,616.7
Q4 2007,625.9
Q3 2007,610.4
Q2 2007,674.6
Q1 2007,576.8
Q4 2006,572.8
Q3 2006,563.0
Q2 2006,614.1
Q1 2006,532.3
Q4 2005,522.3
Q3 2005,514.7
Q2 2005,581.7
Q1 2005,493.6
Q4 2004,484.5
Q3 2004,481.2
Q2 2004,514.4
Q1 2004,460.4
