Month,Output price of cereals as producer price index
Jun 20,131.5
May 20,128.54
Apr 20,128.65
Mar 20,126.41
Feb 20,124.64
Jan 20,120.65
Dec 19,115.92
Nov 19,112.68
Oct 19,111.22
Sep 19,109.29
Aug 19,112.59
Jul 19,127.04
Jun 19,132.09
May 19,137.22
Apr 19,140.06
Mar 19,141.66
Feb 19,146.29
Jan 19,148.88
Dec 18,146.7
Nov 18,150.55
Oct 18,151.66
Sep 18,151.92
Aug 18,146.99
Jul 18,134.25
Jun 18,129.44
May 18,124.95
Apr 18,122.53
Mar 18,120.84
Feb 18,118.26
Jan 18,119.57
Dec 17,119.0
Nov 17,117.34
Oct 17,118.61
Sep 17,116.11
Aug 17,114.58
Jul 17,115.84
Jun 17,119.64
May 17,121.14
Apr 17,121.78
Mar 17,121.49
Feb 17,118.6
Jan 17,114.66
Dec 16,112.82
Nov 16,106.79
Oct 16,105.58
Sep 16,101.61
Aug 16,99.31
Jul 16,95.37
Jun 16,91.84
May 16,90.58
Apr 16,89.43
Mar 16,90.1
Feb 16,90.95
Jan 16,93.09
Dec 15,93.44
Nov 15,94.03
Oct 15,93.2
Sep 15,91.86
Aug 15,94.15
Jul 15,100.25
Jun 15,99.26
May 15,102.18
Apr 15,107.14
Mar 15,106.49
Feb 15,112.22
Jan 15,109.96
Dec 14,108.45
Nov 14,104.6
Oct 14,102.23
Sep 14,105.22
Aug 14,108.2
Jul 14,128.41
Jun 14,134.43
May 14,140.35
Apr 14,140.31
Mar 14,136.31
Feb 14,134.73
Jan 14,132.82
