Month,Number of hours watched in millions
November 2020,121.07
October 2020,171.77
September 2020,134.89
August 2020,142.47
July 2020,135.22
June 2020,143.0
May 2020,127.0
April 2020,135.0
March 2020,123.0
February 2020,121.0
January 2020,99.7
December 2019,78.5
November 2019,91.8
October 2019,121.0
September 2019,77.6
August 2019,86.1
July 2019,68.2
June 2019,89.1
May 2019,103.0
April 2019,92.4
March 2019,108.0
February 2019,95.0
January 2019,99.1
December 2018,72.0
November 2018,84.5
October 2018,109.0
September 2018,76.5
August 2018,81.2
July 2018,74.9
June 2018,72.4
May 2018,82.0
April 2018,74.1
March 2018,88.8
February 2018,81.0
January 2018,89.0
