Cause of death,Number of deaths
Cancers and neoplasms,143181
Circulatory diseases,139706
Respiratory diseases,67690
Mental & behavioral,31048
Digestive diseases,24582
Diseases of the nervous system,18584
Accidents,17590
Other causes,10193
Genitourinary diseases,9500
"Endocrine, nutritional and metabolic diseases",6497
Infections,5937
Musculoskeletal system,4180
Skin diseases,1659
Congenital diseases,1100
Blood diseases and immune systems,999
"Babies dying before, during or after birth",195
Pregnancy and childbirth,44
