Half-Marathons worldwide,Number of finishers
"Göteborg, SWE",47403
"Bupa Great North Run, GBR",41564
"Paris, FRA",32803
"IAAF World Half Marathon Championships, DK",26825
"NYRR Brooklyn, NY",25610
"One America 500 Festival, IN",25524
"Rock 'n' Roll Las Vegas, NV",25227
"Nike Women's, CA",24448
"Vattenfall Berliner, GER",22193
"NYC, NY",20801
"Disney's Princess, FL",20770
"Walt Disney Florida, FL",20243
"St. Jude Country Music Nashville, TN",19149
"Medio Maraton de Madrind, ES",16977
"Rock 'n' Roll San Diego, CA",16890
