NAICS category,Number of businesses
"Professional, scientific and technical services",64515
Retail trade,52069
Construction,50411
Health care and social assistance,46016
Other services (except public administration),40314
Unclassified,33763
Transportation and warehousing,31286
Accommodation and food services,30706
Wholesale trade,21575
Real estate and rental and leasing,21497
"Administrative and support, waste management and remediation services",20720
Manufacturing,20385
Finance and insurance,17389
"Agriculture, forestry, fishing and hunting",8945
Information and cultural industries,7565
"Arts, entertainment and recreation",6430
Educational services,5842
Management of companies and enterprises,2394
Public administration,1294
"Mining, quarrying, and oil and gas extraction",749
Utilities,534
