Response,Share of responding businesses
Retail or wholesale (incl. online shops),20%
"Professional services (e.g., financial services, consulting, travel agents, business services)",14%
Other,12%
"Personal services (e.g. beauty and wellness, repair of household goods)",7%
"Healthcare (e.g., dentist, senior care)",7%
Restaurant/café or other food services,7%
"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",7%
"Real estate (e.g., brokerage, leasing, management)",6%
"Accommodation (e.g., hotels, camping grounds)",5%
"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",4%
Construction or home repair,3%
"Education (e.g., schools, tutoring, driving school)",2%
Non-profit/charity organization,2%
Automotive repair or services,2%
"Transportation or storage (e.g., taxi, warehousing)",2%
Manufacturing,2%
