Month,Number of new cases
Jan 3,4962
Jan 2,3394
Jan 1,1754
Dec 31,1620
Dec 30,1718
Dec 29,1546
Dec 28,765
Dec 27,744
Dec 26,1296
Dec 25,1025
Dec 24,922
Dec 23,938
Dec 22,970
Dec 21,727
Dec 20,764
Dec 19,527
Dec 18,582
Dec 17,484
Dec 16,431
Dec 15,329
Dec 14,264
Dec 13,429
Dec 12,248
Dec 11,313
Dec 10,310
Dec 9,227
Dec 8,215
Dec 7,242
Dec 6,301
Dec 5,456
Dec 4,265
Dec 3,183
Dec 2,270
Dec 1,269
Nov 30,306
Nov 29,299
Nov 28,243
Nov 27,206
Nov 26,335
Nov 25,269
Nov 24,226
Nov 23,252
Nov 22,318
Nov 21,344
Nov 20,330
Nov 19,429
Nov 18,379
Nov 17,366
Nov 16,456
Nov 15,378
Nov 14,456
Nov 13,482
Nov 12,395
Nov 11,362
Nov 10,270
Nov 9,270
Nov 8,542
Nov 7,335
Nov 6,499
Nov 5,591
Nov 4,444
Nov 3,322
Nov 2,767
Nov 1,552
Oct 31,416
Oct 30,772
Oct 29,866
Oct 28,675
Oct 27,720
Oct 26,939
Oct 25,1025
Oct 24,859
Oct 23,777
Oct 22,1066
Oct 21,1167
Oct 20,1269
Oct 19,1031
Oct 18,1283
Oct 17,1276
Oct 16,1000
Oct 15,1205
Oct 14,1095
Oct 13,811
Oct 12,825
Oct 11,814
Oct 10,1012
Oct 9,617
Oct 8,506
Oct 7,611
Oct 6,432
Oct 5,518
Oct 4,364
Oct 3,613
Oct 2,470
Oct 1,442
Sep 30,429
Sep 29,363
Sep 28,390
Sep 27,430
Sep 26,248
Sep 25,326
Sep 24,324
Sep 23,234
Sep 22,334
Sep 21,188
Sep 20,396
Sep 19,274
Sep 18,253
Sep 17,240
Sep 16,254
Sep 15,357
Sep 14,208
Sep 13,255
Sep 12,159
Sep 11,211
Sep 10,196
Sep 9,84
Sep 8,307
Sep 7,102
Sep 6,138
Sep 5,231
Sep 4,98
Sep 3,95
Sep 2,89
Sep 1,217
Aug 31,53
Aug 30,42
Aug 29,142
Aug 28,127
Aug 27,93
Aug 26,164
Aug 25,92
Aug 24,147
Aug 23,61
Aug 22,156
Aug 21,79
Aug 20,136
Aug 19,54
Aug 18,190
Aug 17,56
Aug 16,66
Aug 15,200
Aug 14,67
Aug 13,92
Aug 12,40
Aug 11,35
Aug 10,57
Aug 9,68
Aug 8,174
Aug 7,98
Aug 6,69
Aug 5,50
Aug 4,45
Aug 3,46
Aug 2,53
Aug 1,45
Jul 31,38
Jul 30,85
Jul 29,14
Jul 28,40
Jul 27,11
Jul 26,12
Jul 25,24
Jul 24,20
Jul 23,7
Jul 22,17
Jul 21,36
Jul 20,6
Jul 19,10
Jul 18,21
Jul 17,34
Jul 16,21
Jul 15,14
Jul 14,32
Jul 13,11
Jul 12,17
Jul 11,23
Jul 10,25
Jul 9,23
Jul 8,11
Jul 7,24
Jul 6,4
Jul 5,18
Jul 4,11
Jul 3,9
Jul 2,15
Jul 1,6
Jun 30,11
Jun 29,24
Jun 28,1
Jun 27,23
Jun 26,11
Jun 25,11
Jun 24,5
Jun 23,10
Jun 22,4
Jun 21,6
Jun 20,22
Jun 19,13
Jun 18,16
Jun 17,8
Jun 16,14
Jun 15,18
Jun 14,8
Jun 13,46
Jun 12,13
Jun 11,8
Jun 10,19
Jun 9,9
Jun 8,9
Jun 7,25
Jun 6,24
Jun 5,28
Jun 4,38
Jun 3,47
Jun 2,10
Jun 1,77
May 31,66
May 30,59
May 29,39
May 28,46
May 27,73
May 26,37
May 25,59
May 24,57
May 23,76
May 22,115
May 21,76
May 20,64
May 19,51
May 18,88
May 17,64
May 16,92
May 15,129
May 14,426
May 13,159
May 12,107
May 11,139
May 10,236
May 9,219
May 8,156
May 7,137
May 6,265
May 5,211
May 4,266
May 3,330
May 2,343
May 1,221
Apr 30,359
Apr 29,376
Apr 28,229
Apr 27,386
Apr 26,701
Apr 25,377
Apr 24,577
Apr 23,936
Apr 22,631
Apr 21,388
Apr 20,401
Apr 19,445
Apr 18,630
Apr 17,597
Apr 16,629
Apr 15,657
Apr 14,548
Apr 13,527
Apr 12,430
Apr 11,553
Apr 10,480
Apr 9,500
Apr 8,365
Apr 7,345
Apr 6,370
Apr 5,390
Apr 4,331
Apr 3,424
Apr 2,402
Apr 1,212
Mar 31,325
Mar 30,295
Mar 29,200
Mar 28,294
Mar 27,302
Mar 26,255
Mar 25,235
Mar 24,204
Mar 23,219
Mar 22,121
Mar 21,102
Mar 20,126
Mar 19,191
Mar 18,74
Mar 17,69
Mar 16,54
Mar 15,40
Mar 14,39
Mar 13,20
Mar 12,27
Mar 11,9
Mar 10,10
Mar 9,3
Mar 8,2
Mar 7,1
Mar 6,5
Mar 5,7
Mar 4,4
Mar 3,1
Mar 2,-
Mar 1,-
Feb 29,1
