Month,Units sold
Dec 19,4316
Nov 19,5765
Oct 19,5752
Sep 19,12791
Aug 19,1677
Jul 19,4153
Jun 19,6495
May 19,6069
Apr 19,5688
Mar 19,16680
Feb 19,1559
Jan 19,5601
Dec 18,4321
Nov 18,6339
Oct 18,6942
Sep 18,12827
Aug 18,2202
Jul 18,3843
Jun 18,6024
May 18,6566
Apr 18,5027
Mar 18,16655
Feb 18,1500
Jan 18,5660
Dec 17,4186
Nov 17,6241
Oct 17,5270
Sep 17,14504
Aug 17,1512
Jul 17,5265
Jun 17,6201
May 17,5619
Apr 17,4116
Mar 17,22534
Feb 17,1778
Jan 17,5427
Dec 16,4967
Nov 16,5278
Oct 16,5645
Sep 16,14629
Aug 16,1574
Jul 16,4882
