leading reinsurer,Net premiums earned in million U.S. dollars
National Indemnity Co.,24991.32
Munich Re America Corp.,5038.13
Everest Reins. Co.,5516.14
Swiss Reins. America Corp.,2517.09
Transatlantic Reinsurance,3940.48
Odyssey Reins. Group,2952.47
General Re Group,2959.09
XL Reins. America,1694.64
SCOR U.S. Group/SCOR re,1698.13
Partner Reins. Co.,1845.56
Axis Reins. Co.,845.86
Endurance Reins. Corp. of America,953.88
The Toa Reins. Co. of America,465.38
Renaissance Resinsurance,465.75
American Agricultural Ins. Co.,373.48
EMC Reins. Co.,173.02
Sirius America Insurance Co.,227.38
