cancer type,Number of cancer deaths
Lung,1761007
Colorectum,880792
Stomach,782685
Liver,781631
Breast,626679
Oesophagus,508585
Pancreas,432242
Prostate,358989
Cervixuteri,311365
Leukaemia,309006
Non-Hodgkinlymphoma,248724
"Brain,centralnervoussystem",241037
Bladder,199922
Ovary,184799
"Lip,oralcavity",177384
Kidney,175098
Gallbladder,165087
Multiplemyeloma,106105
Larynx,94771
Corpusuteri,89929
Nasopharynx,72987
Melanomaofskin,60712
Oropharynx,51005
Thyroid,41071
Hypopharynx,34984
Hodgkinlymphoma,26167
Mesothelioma,25576
Salivaryglands,22176
Kaposisarcoma,19902
Vulva,15222
Penis,15138
Testis,9507
Vagina,8062
