Month,Price in GBP per kilogram
Nov '19,1.18
Oct '19,1.2
Sep '19,1.22
Aug '19,1.31
Jul '19,1.59
Jun '19,1.12
May '19,1.07
Apr '19,1.17
Mar '19,1.22
Feb '19,1.23
Jan '19,1.24
Dec '18,1.29
Nov '18,1.39
Oct '18,1.46
Sep '18,1.5
Aug '18,1.41
Jul '18,1.38
Jun '18,1.15
May '18,1.04
Apr '18,1.07
Mar '18,1.09
Feb '18,0.87
Jan '18,0.94
Dec '17,0.93
Nov '17,0.92
Oct '17,0.97
Sep '17,0.99
Aug '17,1.05
Jul '17,1.16
Jun '17,1.21
May '17,0.96
Apr '17,1.0
Mar '17,1.09
Feb '17,1.21
Jan '17,1.11
Dec '16,0.98
Nov '16,0.97
Oct '16,1.02
Sep '16,1.03
Aug '16,1.15
Jul '16,1.22
Jun '16,1.12
May '16,0.96
Apr '16,0.96
Mar '16,0.9
Feb '16,0.87
Jan '16,0.87
Dec '15,0.84
Nov '15,0.85
Oct '15,0.89
Sep '15,0.9
Aug '15,0.95
Jul '15,1.01
Jun '15,1.01
May '15,0.81
Apr '15,0.82
Mar '15,0.83
Feb '15,0.83
Jan '15,0.77
