international airport,Number of passengers in millions
"Copenhagen Kastrup, Denmark (CPH)",29.18
"Oslo, Norway (OSL)",27.48
"Stockholm Arlanda, Sweden (ARN)",26.62
"Helsinki Vantaa, Finland (HEL)",18.89
"Reykjavik Keflavik, Iceland",8.76
"Gothenburg Landvetter, Sweden (GOT)",6.75
"Bergen Flesland, Norway (BGO)",6.11
"Trondheim Værnes, Norway (TRD)",4.43
"Stavanger Sola, Norway (SVG)",4.18
"Billund, Denmark (BLL)",3.38
"Stockholm Bromma, Sweden (BMA)",2.53
"Tromsø, Norway (TOS)",2.27
"Malmö Sturup, Sweden (MMX)",2.18
"Stockholm Skavsta, Sweden (NYO)",2.13
"Sandefjord Torp, Norway (TRF)",1.97
"Bodø Airport, Norway (BOO)",1.83
"Aalborg, Denmark (AAL)",1.52
"Luleå, Sweden (LLA)",1.2
"Ålesund Vigra, Norway (AES)",1.08
"Umeå, Sweden (UME)",1.05
