Month,Inflation rate
Jul '20,2.8%
Jun '20,1%
May '20,2.5%
Apr '20,3.2%
Mar '20,3.5%
Feb '20,4.4%
Jan '20,3.4%
Dec '19,2.4%
Nov '19,2.5%
Oct '19,2.6%
Sep '19,2.4%
Aug '19,4.5%
Jul '19,4.2%
Jun '19,4.1%
May '19,4.3%
Apr '19,3.2%
Mar '19,2.3%
Feb '19,1%
Jan '19,1.4%
Dec '18,0.6%
Nov '18,0.4%
Oct '18,1%
Sep '18,1.1%
Aug '18,-0.2%
Jul '18,-0.9%
Jun '18,0.2%
May '18,0.4%
Apr '18,0.3%
Mar '18,1.2%
Feb '18,1.2%
Jan '18,1.9%
Dec '17,3.8%
Nov '17,4.7%
Oct '17,5.3%
Sep '17,5.5%
Aug '17,6.8%
Jul '17,6.6%
Jun '17,6.5%
May '17,5.1%
Apr '17,5.3%
Mar '17,5.7%
Feb '17,6.4%
Jan '17,6.8%
Dec '16,5%
Nov '16,2.9%
Oct '16,2.5%
Sep '16,2%
Aug '16,0.4%
Jul '16,1%
Jun '16,0.3%
May '16,0%
Apr '16,0.1%
Mar '16,0.2%
Feb '16,0.3%
Jan '16,-0.3%
Dec '15,-0.8%
Nov '15,-0.1%
Oct '15,-0.3%
Sep '15,-1.5%
Aug '15,-1.6%
Jul '15,-2%
Jun '15,-2.3%
May '15,-0.5%
