Response,Share of women surveyed
Contains only natural ingredients,79%
Not tested on animals,75%
Does not contain any chemical ingredients,72%
Is not polluting,66%
Is not harmful to animals,65%
Contains only organic ingredients,64%
Does not contain aluminum,64%
Does not contain parabens,64%
Contains no ingredients of animal origin,64%
Made respecting the human and human rights,63%
Contains essential oils,60%
Does not contain GMOs,60%
Does not contain sulphites,57%
Recyclable packaging,51%
Contains herbs,47%
