Month,Index value
Jun 20,236.5
May 20,220.7
Apr 20,180.6
Mar 20,152.6
Feb 20,133.1
Jan 20,138.9
Dec 19,208.9
Nov 19,181.7
Oct 19,146.1
Sep 19,133.1
Aug 19,134.0
Jul 19,142.7
Jun 19,136.1
May 19,138.8
Apr 19,135.8
Mar 19,135.5
Feb 19,125.2
Jan 19,128.8
Dec 18,187.0
Nov 18,182.9
Oct 18,134.2
Sep 18,122.8
Aug 18,120.1
Jul 18,125.5
Jun 18,125.7
May 18,127.3
Apr 18,118.7
Mar 18,118.4
Feb 18,110.2
Jan 18,113.5
Dec 17,165.3
Nov 17,162.0
Oct 17,118.8
Sep 17,109.9
Aug 17,105.4
Jul 17,108.2
Jun 17,108.7
May 17,105.1
Apr 17,105.0
Mar 17,101.6
Feb 17,95.6
Jan 17,100.0
Dec 16,151.6
Nov 16,147.1
Oct 16,108.5
Sep 16,96.7
Aug 16,88.6
