Month,Price in euros per square meter
Dec 2016,3489
Jan 2017,3486
Feb 2017,3473
Mar 2017,3457
Apr 2017,3442
May 2017,3419
Jun 2017,3410
Jul 2017,3404
Aug 2017,3389
Sep 2017,3382
Oct 2017,3378
Nov 2017,3372
Dec 2017,3365
Jan 2018,3370
Feb 2018,3366
Mar 2018,3361
Apr 2018,3353
May 2018,3344
Jun 2018,3334
Jul 2018,3327
Aug 2018,3315
Sep 2018,3309
Oct 2018,3298
Nov 2018,3290
Dec 2018,3280
Jan 2019,3265
Feb 2019,3254
Mar 2019,3236
Apr 2019,3228
May 2019,3222
Jun 2019,3216
Jul 2019,3199
Aug 2019,3201
Sep 2019,3198
Oct 2019,3184
Nov 2019,3178
Dec 2019,3175
Jan 2020,3178
Feb 2020,3176
Mar 2020,3172
Apr 2020,3185
May 2020,3192
Jun 2020,3201
Jul 2020,3213
Aug 2020,3217
Sep 2020,3219
