State,Number of federal firearms licensees
Texas,10492
California,8127
Florida,6936
Pennsylvania,6106
Illinois,4862
North Carolina,4438
Ohio,4434
Missouri,4362
Massachusetts,4006
Virginia,3932
Michigan,3870
New York,3791
Georgia,3442
Arizona,3199
Tennessee,3103
Washington,3013
Colorado,2933
Maryland,2925
Wisconsin,2894
Indiana,2754
Minnesota,2443
Kentucky,2246
Oklahoma,2246
Oregon,2183
Alabama,2153
South Carolina,2077
Iowa,2017
Louisiana,1986
Arkansas,1877
Connecticut,1760
Kansas,1757
Montana,1487
Mississippi,1469
Idaho,1467
Utah,1454
West Virginia,1360
Nevada,1293
New Hampshire,1161
Nebraska,1120
New Mexico,1042
Maine,888
Wyoming,854
Alaska,848
South Dakota,761
North Dakota,688
Rhode Island,601
Vermont,527
New Jersey,482
Delaware,304
Hawaii,229
Other Territories,117
District of Columbia,30
