Indian Institutes of Technology,Score
"Indian Institute of Technology, Madras (Chennai)",85.31
"Indian Institute of Science, Bangalore",84.18
"Indian Institute of Technology, Delhi",81.33
"Indian Institute of Technology, Bombay (Mumbai)",80.75
"Indian Institute of Technology, Kharagpur",75.85
"Indian Institute of Technology, Kanpur",74.99
"Indian Institute of Technology, Guwahati",68.81
"Jawaharlal Nehru University, New Delhi",68.76
"Indian Institute of Technology, Roorkee",68.48
"Banaras Hindu University, Varanasi",62.03
"Calcutta University, Kolkata",61.01
"Jadavpur University, Kolkata",60.77
"Amrita Vishwa Vidyapeetham, Coimbatore",60.74
Manipal Academy of Higher Education,59.96
"University of Hyderabad, Telangana",59.92
