Month,Percentage change in sales value
Aug 20,-5.9%
Jul 20,-8%
Jun 20,-3.2%
May 20,7.5%
Apr 20,44.4%
Mar 20,24.9%
Feb 20,15.3%
Jan 20,15.9%
Dec 19,64.4%
Nov 19,38.7%
Oct 19,34.3%
Sep 19,24%
Aug 19,17.9%
Jul 19,23.7%
Jun 19,12.7%
May 19,-4.2%
Apr 19,-16.1%
Mar 19,-0.4%
Feb 19,-6.6%
Jan 19,-3.8%
Dec 18,-10.1%
Nov 18,-13.3%
Oct 18,-9.9%
Sep 18,-8%
Aug 18,7.5%
Jul 18,-1.4%
Jun 18,-13.3%
May 18,2.4%
Apr 18,-3.8%
Mar 18,-0.1%
Feb 18,-10.7%
Jan 18,-9.8%
Dec 17,-17.3%
Nov 17,-13.5%
Oct 17,-12.8%
Sep 17,-13%
Aug 17,-25.6%
Jul 17,-22.2%
Jun 17,-9.3%
May 17,-14.5%
Apr 17,-11.8%
Mar 17,-13.5%
Feb 17,-8.5%
Jan 17,2%
Dec 16,8.4%
Nov 16,10%
Oct 16,13%
Sep 16,3.8%
Aug 16,17.8%
Jul 16,18.6%
Jun 16,18.7%
May 16,17.1%
Apr 16,14.8%
Mar 16,24.2%
Feb 16,20.4%
Jan 16,0.3%
Dec 15,7.5%
Nov 15,13.3%
Oct 15,11.6%
Sep 15,22.4%
Aug 15,14.1%
