Year,Population (in millions)
2020,10.2
2019,10.23
2018,10.26
2017,10.29
2016,10.33
2015,10.37
2014,10.42
2013,10.47
2012,10.53
2011,10.57
2010,10.6
2009,10.6
2008,10.6
2007,10.57
2006,10.54
2005,10.51
2004,10.47
2003,10.43
2002,10.39
2001,10.34
2000,10.3
1999,10.25
1998,10.21
1997,10.17
1996,10.13
1995,10.09
1994,10.05
1993,10
1992,9.95
1991,9.92
1990,9.9
1989,9.89
1988,9.9
1987,9.91
1986,9.93
1985,9.93
1984,9.92
1983,9.9
1982,9.87
1981,9.82
1980,9.75
1979,9.66
1978,9.55
1977,9.43
1976,9.3
1975,9.17
1974,9.04
1973,8.91
1972,8.79
1971,8.7
1970,8.65
1969,8.65
1968,8.69
1967,8.75
1966,8.81
1965,8.86
1964,8.89
1963,8.9
1962,8.89
1961,8.87
1960,8.84
1959,8.81
1958,8.78
1957,8.73
1956,8.68
1955,8.63
1954,8.56
1953,8.5
1952,8.45
1951,8.42
1950,8.42
1949,8.35
1948,8.27
1947,8.19
1946,8.12
1945,8.04
1944,7.96
1943,7.89
1942,7.81
1941,7.73
1940,7.65
1939,7.57
1938,7.48
1937,7.39
1936,7.3
1935,7.21
1934,7.12
1933,7.03
1932,6.94
1931,6.86
1930,6.78
1929,6.7
1928,6.62
1927,6.54
1926,6.46
1925,6.39
1924,6.31
1923,6.24
1922,6.16
1921,6.1
1920,6.05
1919,6.02
1918,5.99
1917,5.98
1916,5.96
1915,5.95
1914,5.93
1913,5.92
1912,5.9
1911,5.88
1910,5.85
1909,5.82
1908,5.78
1907,5.73
1906,5.68
1905,5.63
1904,5.58
1903,5.54
1902,5.49
1901,5.45
1900,5.4
1899,5.36
1898,5.32
1897,5.28
1896,5.25
1895,5.21
1894,5.17
1893,5.13
1892,5.1
1891,5.06
1890,5.02
1889,4.98
1888,4.94
1887,4.9
1886,4.85
1885,4.81
1884,4.77
1883,4.73
1882,4.69
1881,4.65
1880,4.61
1879,4.58
1878,4.55
1877,4.52
1876,4.49
1875,4.46
1874,4.44
1873,4.41
1872,4.38
1871,4.35
1870,4.32
1869,4.29
1868,4.26
1867,4.22
1866,4.19
1865,4.16
1864,4.13
1863,4.09
1862,4.06
1861,4.03
1860,4.01
1859,3.98
1858,3.96
1857,3.94
1856,3.92
1855,3.91
1854,3.89
1853,3.87
1852,3.85
1851,3.84
1850,3.82
1849,3.81
1848,3.79
1847,3.78
1846,3.77
1845,3.76
1844,3.75
1843,3.74
1842,3.73
1841,3.71
1840,3.7
1839,3.68
1838,3.66
1837,3.64
1836,3.62
1835,3.6
1834,3.57
1833,3.55
1832,3.53
1831,3.51
1830,3.49
1829,3.47
1828,3.45
1827,3.43
1826,3.41
1825,3.39
1824,3.37
1823,3.35
1822,3.34
1821,3.31
1820,3.29
1819,3.27
1818,3.24
1817,3.21
1816,3.18
1815,3.15
1814,3.12
1813,3.09
1812,3.07
1811,3.04
1810,3.01
1809,2.98
1808,2.96
1807,2.93
1806,2.9
1805,2.88
1804,2.85
1803,2.83
1802,2.8
1801,2.78
1800,2.75
...,-
1768,2.41
