Month,Number of new cases
Dec 14,2194
Dec 13,4044
Dec 12,4413
Dec 11,5080
Dec 10,3134
Dec 9,4097
Dec 8,2905
Dec 7,2597
Dec 6,3834
Dec 5,6087
Dec 4,4935
Dec 3,3772
Dec 2,3384
Dec 1,2401
Nov 30,3262
Nov 29,4093
Nov 28,4868
Nov 27,5444
Nov 26,6383
Nov 25,5290
Nov 24,3919
Nov 23,4044
Nov 22,4788
Nov 21,6472
Nov 20,6489
Nov 19,6994
Nov 18,5891
Nov 17,4452
Nov 16,8371
Nov 15,6035
Nov 14,6602
Nov 13,6653
Nov 12,5839
Nov 11,4935
Nov 10,3817
Nov 9,4096
Nov 8,5784
Nov 7,6640
Nov 6,5550
Nov 5,4410
Nov 4,7497
Nov 3,2596
Nov 2,2506
Nov 1,3062
Oct 31,4007
Oct 30,4656
Oct 29,4224
Oct 28,3960
Oct 27,3299
Oct 26,2447
Oct 25,2577
Oct 24,3669
Oct 23,2899
Oct 22,3270
Oct 21,2535
Oct 20,1876
Oct 19,1949
Oct 18,1856
Oct 17,2153
Oct 16,2608
Oct 15,2101
Oct 14,2072
Oct 13,1208
Oct 12,1249
Oct 11,1090
Oct 10,1646
Oct 9,1394
Oct 8,1278
Oct 7,944
Oct 6,427
Oct 5,734
Oct 4,904
Oct 3,963
Oct 2,888
Oct 1,854
Sep 30,825
Sep 29,688
Sep 28,425
Sep 27,665
Sep 26,884
Sep 25,899
Sep 24,691
Sep 23,802
Sep 22,463
Sep 21,623
Sep 20,552
Sep 19,849
Sep 18,780
Sep 17,770
Sep 16,605
Sep 15,425
Sep 14,613
Sep 13,673
Sep 12,497
Sep 11,687
Sep 10,585
Sep 9,646
Sep 8,388
Sep 7,249
Sep 6,315
Sep 5,486
Sep 4,406
Sep 3,418
Sep 2,390
Sep 1,231
Aug 30,320
Aug 29,374
Aug 28,403
Aug 27,397
Aug 26,362
Aug 25,192
Aug 24,123
Aug 23,145
Aug 22,241
Aug 21,219
Aug 20,291
Aug 19,253
Aug 18,214
Aug 17,132
Aug 16,121
Aug 15,198
Aug 14,235
Aug 13,325
Aug 12,278
Aug 11,120
Aug 10,157
Aug 9,131
Aug 8,186
Aug 7,290
Aug 6,213
Aug 5,167
Aug 4,112
Aug 3,106
Aug 2,153
Aug 1,238
Jul 31,204
Jul 30,255
Jul 29,203
Jul 28,111
Jul 27,135
Jul 26,209
Jul 25,263
Jul 24,313
Jul 23,229
Jul 22,252
Jul 21,127
Jul 20,135
Jul 19,246
Jul 18,313
Jul 17,312
Jul 16,339
Jul 15,375
Jul 14,233
Jul 13,306
Jul 12,291
Jul 11,542
Jul 10,402
Jul 9,418
Jul 8,443
Jul 7,289
Jul 6,232
Jul 5,328
Jul 4,413
Jul 3,374
Jul 2,324
Jul 1,313
Jun 30,229
Jun 29,266
Jun 28,457
Jun 27,303
Jun 26,451
Jun 25,311
Jun 24,367
Jun 23,345
Jun 22,259
Jun 21,292
Jun 20,377
Jun 19,375
Jun 18,417
Jun 17,336
Jun 16,300
Jun 15,346
Jun 14,227
Jun 13,283
Jun 12,270
Jun 11,310
Jun 10,294
Jun 9,421
Jun 8,192
Jun 7,342
Jun 6,382
Jun 5,377
Jun 4,331
Jun 3,366
Jun 2,195
Jun 1,200
May 31,297
May 30,257
May 29,350
May 28,304
May 27,285
May 26,219
May 25,165
May 24,152
May 23,271
May 22,288
May 21,252
May 20,228
May 19,223
May 18,173
May 17,226
May 16,227
May 15,264
May 14,187
May 13,219
May 12,234
May 11,98
May 10,175
May 9,138
May 8,553
May 7,533
May 6,480
May 5,178
May 4,242
May 3,92
May 2,203
May 1,295
Apr 30,368
Apr 29,183
Apr 28,295
Apr 27,163
Apr 26,472
Apr 25,595
Apr 24,444
Apr 23,371
Apr 22,603
Apr 21,516
Apr 20,657
Apr 19,521
Apr 18,663
Apr 17,181
Apr 16,750
Apr 15,643
Apr 14,514
Apr 13,349
Apr 12,598
Apr 11,515
Apr 10,1516
Apr 9,815
Apr 8,699
Apr 7,712
Apr 6,452
Apr 5,754
Apr 4,638
Apr 3,852
Apr 2,783
Apr 1,808
Mar 31,1035
Mar 30,446
Mar 29,792
Mar 28,902
Mar 27,724
Mar 26,549
Mar 25,633
Mar 24,302
Mar 23,460
Mar 22,320
Mar 21,260
Mar 20,235
Mar 19,143
Mar 18,194
Mar 17,117
Mar 16,86
Mar 15,76
Mar 14,57
Mar 13,34
Mar 12,19
Mar 11,18
Mar 10,2
Mar 9,9
Mar 8,9
Mar 7,8
Mar 6,4
Mar 5,3
Mar 4,2
Mar 3,2
Mar 2,2
