Leading companies in information services industry ,Turnover in million SEK
Spotify AB,33833
Pinnacle Sweden AB,2641
Evry AB,1471
Eniro AB,1393
Goodle Sweden AB,1114
TT Nyhetsbyrån AB,681
Storytel Sweden AB,596
Posti Messaging AB,388
Avanade Sweden AB,382
Refinitiv Sweden AB,366
Prisjakt Sverige AB,264
Digital New Agency Group AB,262
Interroute Managed Services Sweden AB,260
Professional Wireless Sverige AB,232
EMG - Education Media Group AB,206
Iron Mountain Sweden AB,192
K.G.M. Datadistribution AB,185
BTJ Sverige AB,185
Loopia AB,149
Enfo Pointer AB,145
