State,Total number of stores
California,297
Texas,150
Florida,124
Illionois,95
New York,84
Pennsylvania,75
Minnesota,73
Ohio,64
Virginia,59
Michigan,53
North Carolina,51
Georgia,50
New Jersey,47
Massachusetts,47
Arizona,46
Colorado,42
Maryland,40
Washington,39
Wisconsin,36
Missouri,35
Indiana,31
Tennessee,30
Alabama,22
Connecticut,21
Iowa,20
Oregon,20
South Carolina,19
Nevada,17
Kansas,17
Oklahoma,15
Louisiana,15
Nebraska,14
Utah,14
Kentucky,14
New Mexico,10
Arkansas,9
New Hampshire,9
Hawaii,7
Montana,7
West Virginia,6
Idaho,6
Mississippi,6
South Dakota,5
Maine,5
District of Columbia,5
North Dakota,4
Rhode Island,4
Delaware,3
Alaska,3
Wyoming,2
Vermont,1
