Year,GDP per capita in U.S. dollars
2025*,12037.73
2024*,11599.98
2023*,11166.76
2022*,10622.37
2021*,9629.78
2020*,8950.7
2019*,11090.43
2018,11205.9
2017,10485.01
2016,9681.42
2015,9258.56
2014,10151.73
2013,9637.02
2012,9291.24
2011,9197.04
2010,8000.38
2009,7318.13
2008,8030.05
2007,6574.66
2006,5695.98
2005,5516.2
2004,5626.0
2003,5005.42
2002,4196.43
2001,4026.94
2000,4102.59
1999,3859.15
1998,3701.87
1997,3703.63
1996,3993.48
1995,3902.22
1994,3446.31
1993,3148.8
1992,3091.41
1991,2781.63
1990,2555.86
1989,2146.05
1988,2104.55
1987,1827.43
1986,1454.12
1985,1085.14
