Year,GDP per capita in U.S. dollars
2025*,10105.62
2024*,10035.45
2023*,9927.79
2022*,9537.4
2021*,9095.1
2020*,8433.04
2019,9890.31
2018,11624.89
2017,14618.33
2016,12772.87
2015,14895.32
2014,13208.83
2013,14488.83
2012,13889.79
2011,12787.81
2010,10412.95
2009,8337.81
2008,9146.79
2007,7315.73
2006,5976.08
2005,5163.55
2004,4314.4
2003,3648.06
2002,2898.29
2001,7851.66
2000,8386.59
1999,8452.88
1998,9005.38
1997,8918.83
1996,8385.15
1995,8053.12
1994,8125.91
1993,7558.5
1992,7420.32
1991,6233.39
1990,4709.66
1989,2779.87
1988,4386.53
1987,3790.75
1986,3739.41
1985,3149.68
