Year,Index points
12/9/2020,13362.87
12/2/2020,13278.49
11/25/2020,13382.3
11/18/2020,13292.44
11/11/2020,13133.47
11/4/2020,12568.09
10/28/2020,12088.98
10/20/2020,12063.57
10/13/2020,12736.95
10/7/2020,12928.57
9/30/2020,12906.02
9/23/2020,12825.82
9/16/2020,12594.39
9/9/2020,13217.67
9/2/2020,12968.33
8/26/2020,12974.25
8/19/2020,12977.33
8/12/2020,12881.76
8/5/2020,12946.89
7/29/2020,12835.28
7/22/2020,13171.83
7/15/2020,13171.83
7/8/2020,12697.36
7/1/2020,12616.8
6/24/2020,12310.93
6/17/2020,12523.76
6/10/2020,12315.66
6/3/2020,12617.99
5/27/2020,12021.28
5/20/2020,11504.65
5/13/2020,11075.29
5/6/2020,10819.5
4/29/2020,10729.46
4/22/2020,10795.63
4/15/2020,10249.85
4/8/2020,10696.56
4/1/2020,10356.7
3/25/2020,9874.26
3/18/2020,8928.95
3/11/2020,8939.1
3/4/2020,10475.49
2/26/2020,11985.39
2/19/2020,12790.49
2/12/2020,13681.19
2/5/2020,13627.84
1/29/2020,13281.74
1/22/2020,13323.69
1/15/2020,13555.87
1/8/2020,13456.49
1/1/2020,13226.83
