Industry,Real value added in billion chained (2012) U.S. dollars
"Mining, quarrying, and oil and gas extraction",8.51
"Finance, insurance, real estate, rental, and leasing",7.86
Government and government enterprises,5.51
"Educational services, health care, and social assistance",4.4
Wholesale trade,4.07
"Agriculture, forestry, fishing, and hunting",4.07
Manufacturing,3.75
Professional and business services,3.01
Retail trade,2.91
Construction,2.52
Transportation and warehousing,2.43
Information,1.58
"Arts, entertainment, recreation, accommodation, and food services",1.29
Utilities,1.26
