bank,CET1 ratio
OP Financial Group (Finland),19.5%
DNB ASA (Norway),18.56%
Svenska Handelsbanken AB (Sweden),18.53%
ABN AMRO Bank NV (Netherlands),18.13%
Skandinaviska Enskilda Banken AB (Sweden),17.59%
Danske Bank A/S (Denmark),17.12%
Rabobank (Netherlands),16.3%
Royal Bank of Scotland Group plc (UK),16.22%
KBC Group NV (Netherlands),16.1%
Credit Agricole Group (France),15.94%
Groupe BPCE (France),15.64%
Belfius Banque SA (Belgium),15.57%
HSBC Holdings plc (UK),14.6%
ING Groep NV (Netherlands),14.57%
DZ Bank AG (Germany),14.4%
