Month,Number of homicides
Jun 20,9
May 20,8
Apr 20,12
Mar 20,12
Feb 20,7
Jan 20,11
Dec 19,18
Nov 19,9
Oct 19,10
Sep19,11
Aug 19,11
Jul 19,15
Jun 19,19
May 19,12
Apr 19,12
Mar 19,15
Feb 19,9
Jan 19,8
Dec 18,6
Nov 18,11
Oct 18,10
Sep 18,9
Aug 18,13
Jul 18,6
Jun 18,6
May 18,13
Apr 18,16
Mar 18,18
Feb 18,18
Jan 18,9
Dec 17,10
Nov 17,11
Oct 17,14
Sep 17,8
Aug 17,14
Jul 17,10
Jun 17,21
May 17,15
Apr 17,15
Mar 17,11
Feb 17,6
Jan 17,6
Dec 16,12
Nov 16,11
Oct 16,11
Sep 16,11
Aug 16,16
Jul 16,5
Jun 16,6
May 16,7
Apr 16,9
Mar 16,10
Feb 16,5
Jan 16,10
Dec 15,8
Nov 15,13
Oct 15,10
Sep 15,17
Aug 15,8
Jul 15,7
Jun 15,12
May 15,6
Apr 15,5
Mar 15,8
Feb 15,12
Jan 15,14
Dec 14,8
Nov 14,9
Oct 14,4
Sep 14,8
Aug 14,8
Jul 14,7
Jun 14,8
May 14,10
Apr 14,8
Mar 14,12
Feb 14,9
Jan 14,4
Dec 13,11
Nov 13,8
Oct 13,9
Sep 13,7
Aug 13,11
Jul 13,13
Jun 13,10
May 13,9
Apr 13,7
Mar 13,8
Feb 13,7
Jan 13,9
Dec 12,13
Nov 12,13
Oct 12,8
Sep 12,9
Aug 12,10
Jul 12,4
Jun 12,12
May 12,12
Apr 12,5
Mar 12,6
Feb 12,10
Jan 12,4
Dec 11,8
Nov 11,8
Oct 11,7
Sep 11,7
Aug 11,14
Jul 11,9
Jun 11,10
May 11,10
Apr 11,9
Mar 11,10
Feb 11,12
Jan 11,13
Dec 10,14
Nov 10,12
Oct 10,10
Sep 10,10
Aug 10,5
Jul 10,12
Jun 10,8
May 10,11
Apr 10,17
