Month,Inflation rate
Jul '20,1.1%
Jun '20,3%
May '20,2.8%
Apr '20,3.4%
Mar '20,3.6%
Feb '20,4%
Jan '20,4.3%
Dec '19,3.5%
Nov '19,4.1%
Oct '19,3.6%
Sep '19,3.7%
Aug '19,5.1%
Jul '19,4.6%
Jun '19,3.2%
May '19,2.9%
Apr '19,2.2%
Mar '19,1.8%
Feb '19,0.8%
Jan '19,-0.3%
Dec '18,-0.6%
Nov '18,-0.1%
Oct '18,0.2%
Sep '18,1%
Aug '18,0.4%
Jul '18,1.4%
Jun '18,2.1%
May '18,2.6%
Apr '18,2.7%
Mar '18,2.3%
Feb '18,1.9%
Jan '18,3.4%
Dec '17,3.8%
Nov '17,4.8%
Oct '17,5.6%
Sep '17,4.7%
Aug '17,3.6%
Jul '17,2.9%
Jun '17,2.6%
May '17,2%
Apr '17,2%
Mar '17,2.9%
Feb '17,4.4%
Jan '17,3.6%
Dec '16,3.7%
Nov '16,1%
Oct '16,0.4%
Sep '16,1.2%
Aug '16,1.7%
Jul '16,1.3%
Jun '16,1.3%
May '16,1%
Apr '16,1.6%
Mar '16,1.5%
Feb '16,0.5%
Jan '16,-0.03%
Dec '15,-0.8%
Nov '15,-0.3%
Oct '15,-0.2%
Sep '15,-1.2%
Aug '15,-1.3%
Jul '15,-1.3%
Jun '15,-1%
May '15,-0.4%
