Response,Percentage of employees
Netherlands,35.7%
Sweden,34.7%
Iceland,31.5%
Luxembourg,30.8%
Finland,30.3%
Denmark,27.4%
United Kingdom,23.8%
Belgium,22.7%
Austria,21.7%
France,20.7%
Estonia,20.1%
Ireland,19.3%
Slovenia,17.8%
EU28,15%
Portugal,14.7%
Poland,13.2%
Germany,11.6%
Norway,11.4%
Switzerland,11%
Malta,9.7%
Czechia,9.4%
Slovakia,9%
Montenegro,8%
Spain,7.5%
Croatia,6.7%
Hungary,6%
Greece,5.1%
Latvia,4.8%
Italy,4.8%
Lithuania,4.6%
Turkey,2.9%
North Macedonia,2.8%
Cyprus,2.2%
Bulgaria,1%
Romania,0.7%
